,ACHV
2000-01-06,131175.0
2000-01-07,128700.0
2000-01-10,126225.0
2000-01-11,131175.0
2000-01-12,129937.5
2000-01-13,128700.0
2000-01-14,136125.0
2000-01-18,148500.0
2000-01-19,153450.0
2000-01-20,158400.0
2000-01-21,158400.0
2000-01-24,158400.0
2000-01-25,230175.0
2000-01-26,247500.0
2000-01-27,227700.0
2000-01-28,212850.0
2000-01-31,202950.0
2000-02-01,198000.0
2000-02-02,207900.0
2000-02-03,198000.0
2000-02-04,207900.0
2000-02-07,217800.0
2000-02-08,232650.0
2000-02-09,237600.0
2000-02-10,240075.0
2000-02-11,242550.0
2000-02-14,227700.0
2000-02-15,212850.0
2000-02-16,212850.0
2000-02-17,237600.0
2000-02-18,264825.0
2000-02-22,272250.0
2000-02-23,257400.0
2000-02-24,247500.0
2000-02-25,247500.0
2000-02-28,232650.0
2000-02-29,247500.0
2000-03-01,321750.0
2000-03-02,348975.0
2000-03-03,326700.0
2000-03-06,398475.0
2000-03-07,383625.0
2000-03-08,363825.0
2000-03-09,356400.0
2000-03-10,294525.0
2000-03-13,262350.0
2000-03-14,205425.0
2000-03-15,193050.0
2000-03-16,207900.0
2000-03-17,207900.0
2000-03-20,198000.0
2000-03-21,198000.0
2000-03-22,207900.0
2000-03-23,193050.0
2000-03-24,189337.5
2000-03-27,168300.0
2000-03-28,158400.0
2000-03-29,152212.5
2000-03-30,158400.0
2000-03-31,155925.0
2000-04-03,158400.0
2000-04-04,158400.0
2000-04-05,155925.0
2000-04-06,170775.0
2000-04-07,173250.0
2000-04-10,168300.0
2000-04-11,155925.0
2000-04-12,143550.0
2000-04-13,143550.0
2000-04-14,103950.0
