,CINF
1993-03-10,17.756662368774414
1993-03-11,18.099454879760742
1993-03-12,17.68810272216797
1993-03-15,17.4824275970459
1993-03-16,17.55098533630371
1993-03-17,17.208192825317383
1993-03-18,17.413869857788086
1993-03-19,17.276752471923828
1993-03-22,17.208192825317383
1993-03-23,17.002517700195312
1993-03-24,17.208192825317383
1993-03-25,17.071075439453125
1993-03-26,17.13963508605957
1993-03-29,16.796842575073242
1993-03-30,16.69400405883789
1993-03-31,16.865400314331055
1993-04-01,16.933958053588867
1993-04-02,16.796842575073242
1993-04-05,16.72828483581543
1993-04-06,16.69400405883789
1993-04-07,16.83112144470215
1993-04-08,16.933958053588867
1993-04-12,17.208192825317383
1993-04-13,17.311031341552734
1993-04-14,16.83112144470215
1993-04-15,16.796842575073242
1993-04-16,16.796842575073242
1993-04-19,16.591167449951172
1993-04-20,16.522607803344727
1993-04-21,16.38549041748047
1993-04-22,16.1798152923584
1993-04-23,16.111257553100586
1993-04-26,16.07697868347168
1993-04-27,15.83702278137207
1993-04-28,15.699906349182129
1993-04-29,16.04269790649414
1993-04-30,16.1798152923584
1993-05-03,15.939860343933105
1993-05-04,16.1798152923584
1993-05-05,16.111257553100586
1993-05-06,16.04269790649414
1993-05-07,15.631346702575684
1993-05-10,15.699906349182129
1993-05-11,15.83702278137207
1993-05-12,15.631346702575684
1993-05-13,15.494230270385742
1993-05-14,14.945761680603027
1993-05-17,14.191617965698242
1993-05-18,13.985941886901855
1993-05-19,14.808645248413086
1993-05-20,15.219996452331543
1993-05-21,15.151436805725098
1993-05-24,15.357112884521484
1993-05-25,15.528509140014648
1993-05-26,15.562788009643555
1993-05-27,15.734185218811035
1993-05-28,15.562788009643555
1993-06-01,15.9055814743042
1993-06-02,15.974140167236328
1993-06-03,15.768464088439941
1993-06-04,15.974140167236328
1993-06-07,15.528509140014648
1993-06-08,15.494230270385742
1993-06-09,15.528509140014648
1993-06-10,15.494230270385742
1993-06-11,15.83702278137207
1993-06-14,16.04269790649414
1993-06-15,16.316932678222656
1993-06-16,16.591167449951172
