,ECHO
2017-07-18,18.549999237060547
2017-07-19,18.700000762939453
2017-07-20,18.299999237060547
2017-07-21,17.950000762939453
2017-07-24,17.850000381469727
2017-07-25,18.25
2017-07-26,17.850000381469727
2017-07-27,17.350000381469727
2017-07-28,13.850000381469727
2017-07-31,13.649999618530273
2017-08-01,13.850000381469727
2017-08-02,14.199999809265137
2017-08-03,14.350000381469727
2017-08-04,14.800000190734863
2017-08-07,14.680000305175781
2017-08-08,14.829999923706055
2017-08-09,14.050000190734863
2017-08-10,14.050000190734863
2017-08-11,13.899999618530273
2017-08-14,14.149999618530273
2017-08-15,13.899999618530273
2017-08-16,13.949999809265137
2017-08-17,13.800000190734863
2017-08-18,14.0
2017-08-21,13.899999618530273
2017-08-22,14.100000381469727
2017-08-23,13.600000381469727
2017-08-24,13.449999809265137
2017-08-25,13.800000190734863
2017-08-28,13.949999809265137
2017-08-29,14.399999618530273
2017-08-30,15.149999618530273
2017-08-31,15.199999809265137
2017-09-01,15.25
2017-09-05,15.100000381469727
2017-09-06,15.149999618530273
2017-09-07,15.300000190734863
2017-09-08,15.5
2017-09-11,15.899999618530273
2017-09-12,16.049999237060547
2017-09-13,15.899999618530273
2017-09-14,15.850000381469727
2017-09-15,16.75
2017-09-18,17.25
2017-09-19,17.350000381469727
2017-09-20,17.950000762939453
2017-09-21,17.799999237060547
2017-09-22,18.100000381469727
2017-09-25,17.75
2017-09-26,18.399999618530273
2017-09-27,18.75
2017-09-28,18.549999237060547
2017-09-29,18.850000381469727
2017-10-02,19.350000381469727
2017-10-03,19.399999618530273
2017-10-04,19.049999237060547
2017-10-05,19.399999618530273
2017-10-06,19.649999618530273
2017-10-09,19.649999618530273
2017-10-10,19.649999618530273
2017-10-11,19.299999237060547
2017-10-12,19.649999618530273
2017-10-13,19.950000762939453
2017-10-16,19.399999618530273
2017-10-17,18.799999237060547
2017-10-18,19.100000381469727
2017-10-19,19.25
2017-10-20,19.350000381469727
2017-10-23,19.649999618530273
2017-10-24,19.649999618530273
2017-10-25,19.700000762939453
2017-10-26,22.899999618530273
2017-10-27,23.850000381469727
2017-10-30,23.950000762939453
2017-10-31,24.049999237060547
2017-11-01,24.100000381469727
2017-11-02,23.799999237060547
2017-11-03,23.200000762939453
2017-11-06,23.399999618530273
2017-11-07,23.950000762939453
2017-11-08,23.899999618530273
2017-11-09,23.799999237060547
2017-11-10,23.850000381469727
2017-11-13,23.850000381469727
2017-11-14,24.100000381469727
2017-11-15,23.950000762939453
2017-11-16,23.899999618530273
2017-11-17,24.0
2017-11-20,24.700000762939453
2017-11-21,25.329999923706055
2017-11-22,25.450000762939453
2017-11-24,25.049999237060547
2017-11-27,24.899999618530273
2017-11-28,25.850000381469727
2017-11-29,26.549999237060547
2017-11-30,27.0
2017-12-01,26.850000381469727
2017-12-04,27.399999618530273
2017-12-05,26.450000762939453
2017-12-06,26.5
2017-12-07,27.200000762939453
2017-12-08,27.450000762939453
2017-12-11,27.850000381469727
2017-12-12,27.899999618530273
2017-12-13,28.100000381469727
2017-12-14,26.5
2017-12-15,26.950000762939453
2017-12-18,27.799999237060547
2017-12-19,27.600000381469727
2017-12-20,27.549999237060547
2017-12-21,27.549999237060547
2017-12-22,28.549999237060547
2017-12-26,28.700000762939453
2017-12-27,28.700000762939453
2017-12-28,28.399999618530273
2017-12-29,28.0
2018-01-02,28.049999237060547
2018-01-03,28.049999237060547
2018-01-04,27.899999618530273
2018-01-05,27.649999618530273
2018-01-08,28.450000762939453
2018-01-09,28.399999618530273
2018-01-10,28.25
2018-01-11,28.899999618530273
2018-01-12,29.049999237060547
2018-01-16,28.75
2018-01-17,28.850000381469727
2018-01-18,29.100000381469727
2018-01-19,29.700000762939453
2018-01-22,29.649999618530273
2018-01-23,29.700000762939453
2018-01-24,29.549999237060547
2018-01-25,30.149999618530273
2018-01-26,30.600000381469727
2018-01-29,30.350000381469727
2018-01-30,30.049999237060547
2018-01-31,29.200000762939453
2018-02-01,29.5
2018-02-02,29.049999237060547
2018-02-05,28.149999618530273
2018-02-06,28.399999618530273
2018-02-07,29.25
2018-02-08,28.649999618530273
2018-02-09,28.450000762939453
2018-02-12,29.450000762939453
2018-02-13,29.350000381469727
2018-02-14,29.5
2018-02-15,28.799999237060547
