,BATRK
2018-10-22,26.309999465942383
2018-10-23,26.170000076293945
2018-10-24,25.309999465942383
2018-10-25,25.489999771118164
2018-10-26,25.40999984741211
2018-10-29,25.139999389648438
2018-10-30,25.34000015258789
2018-10-31,25.899999618530273
2018-11-01,25.84000015258789
2018-11-02,26.0
2018-11-05,25.56999969482422
2018-11-06,25.760000228881836
2018-11-07,26.020000457763672
2018-11-08,25.969999313354492
2018-11-09,25.280000686645508
2018-11-12,24.790000915527344
2018-11-13,24.8700008392334
2018-11-14,24.770000457763672
2018-11-15,24.899999618530273
2018-11-16,24.68000030517578
2018-11-19,23.950000762939453
2018-11-20,23.760000228881836
2018-11-21,24.559999465942383
2018-11-23,24.530000686645508
2018-11-26,24.40999984741211
2018-11-27,24.520000457763672
2018-11-28,25.1299991607666
2018-11-29,25.229999542236328
2018-11-30,25.0
2018-12-03,25.010000228881836
2018-12-04,25.030000686645508
2018-12-06,25.459999084472656
2018-12-07,25.260000228881836
2018-12-10,25.610000610351562
2018-12-11,25.829999923706055
2018-12-12,25.770000457763672
2018-12-13,25.65999984741211
2018-12-14,25.549999237060547
2018-12-17,24.989999771118164
2018-12-18,24.8700008392334
2018-12-19,24.5
2018-12-20,24.780000686645508
2018-12-21,24.239999771118164
2018-12-24,23.670000076293945
2018-12-26,24.700000762939453
2018-12-27,24.549999237060547
2018-12-28,24.690000534057617
2018-12-31,24.889999389648438
2019-01-02,24.969999313354492
2019-01-03,24.950000762939453
2019-01-04,24.90999984741211
2019-01-07,24.850000381469727
2019-01-08,25.450000762939453
2019-01-09,25.309999465942383
2019-01-10,25.43000030517578
2019-01-11,25.3799991607666
2019-01-14,25.3799991607666
2019-01-15,25.450000762939453
2019-01-16,25.43000030517578
2019-01-17,25.770000457763672
2019-01-18,25.989999771118164
2019-01-22,25.860000610351562
2019-01-23,26.309999465942383
2019-01-24,26.6299991607666
2019-01-25,26.75
2019-01-28,26.739999771118164
2019-01-29,26.719999313354492
2019-01-30,26.8700008392334
2019-01-31,26.959999084472656
2019-02-01,27.059999465942383
2019-02-04,27.559999465942383
2019-02-05,28.139999389648438
2019-02-06,28.56999969482422
2019-02-07,28.229999542236328
2019-02-08,28.68000030517578
2019-02-11,28.950000762939453
2019-02-12,29.049999237060547
2019-02-13,29.010000228881836
2019-02-14,28.920000076293945
2019-02-15,28.959999084472656
2019-02-19,28.920000076293945
2019-02-20,28.899999618530273
2019-02-21,29.209999084472656
2019-02-22,29.59000015258789
2019-02-25,29.3799991607666
2019-02-26,28.729999542236328
2019-02-27,28.579999923706055
2019-02-28,27.84000015258789
2019-03-01,28.280000686645508
2019-03-04,28.079999923706055
2019-03-05,27.829999923706055
2019-03-06,27.729999542236328
2019-03-07,27.809999465942383
2019-03-08,28.1200008392334
2019-03-11,28.110000610351562
2019-03-12,28.34000015258789
2019-03-13,28.209999084472656
2019-03-14,28.079999923706055
2019-03-15,28.440000534057617
2019-03-18,28.450000762939453
2019-03-19,28.56999969482422
2019-03-20,28.40999984741211
2019-03-21,28.510000228881836
2019-03-22,27.979999542236328
2019-03-25,28.139999389648438
2019-03-26,28.100000381469727
2019-03-27,27.899999618530273
2019-03-28,28.030000686645508
2019-03-29,27.770000457763672
2019-04-01,27.579999923706055
2019-04-02,27.270000457763672
2019-04-03,27.420000076293945
2019-04-04,27.139999389648438
2019-04-05,27.700000762939453
2019-04-08,27.59000015258789
