,ANAB
2020-06-05,19.440000534057617
2020-06-08,20.170000076293945
2020-06-09,20.6200008392334
2020-06-10,20.25
2020-06-11,18.6200008392334
2020-06-12,18.530000686645508
2020-06-15,19.010000228881836
2020-06-16,19.219999313354492
2020-06-17,18.68000030517578
2020-06-18,19.25
2020-06-19,22.350000381469727
2020-06-22,22.510000228881836
2020-06-23,23.010000228881836
2020-06-24,23.239999771118164
2020-06-25,24.0
2020-06-26,22.639999389648438
2020-06-29,22.68000030517578
2020-06-30,22.34000015258789
2020-07-01,23.06999969482422
2020-07-02,22.540000915527344
2020-07-06,22.219999313354492
2020-07-07,22.649999618530273
2020-07-08,22.760000228881836
2020-07-09,22.530000686645508
2020-07-10,21.239999771118164
2020-07-13,20.15999984741211
2020-07-14,20.709999084472656
2020-07-15,21.860000610351562
2020-07-16,21.469999313354492
2020-07-17,21.940000534057617
2020-07-20,22.110000610351562
2020-07-21,21.469999313354492
2020-07-22,20.889999389648438
2020-07-23,20.469999313354492
2020-07-24,19.3799991607666
2020-07-27,19.889999389648438
2020-07-28,19.040000915527344
2020-07-29,18.65999984741211
2020-07-30,18.5
2020-07-31,17.959999084472656
2020-08-03,18.440000534057617
2020-08-04,18.059999465942383
2020-08-05,17.770000457763672
2020-08-06,17.770000457763672
2020-08-07,18.459999084472656
2020-08-10,17.670000076293945
2020-08-11,17.43000030517578
2020-08-12,17.780000686645508
2020-08-13,17.639999389648438
2020-08-14,16.90999984741211
2020-08-17,17.3799991607666
2020-08-18,17.729999542236328
2020-08-19,17.700000762939453
2020-08-20,17.770000457763672
2020-08-21,17.459999084472656
2020-08-24,16.979999542236328
2020-08-25,17.209999084472656
2020-08-26,16.860000610351562
2020-08-27,16.81999969482422
2020-08-28,16.93000030517578
2020-08-31,17.329999923706055
2020-09-01,17.270000457763672
2020-09-02,17.06999969482422
2020-09-03,16.540000915527344
2020-09-04,15.960000038146973
2020-09-08,15.930000305175781
2020-09-09,15.8100004196167
2020-09-10,14.800000190734863
2020-09-11,14.4399995803833
2020-09-14,15.130000114440918
2020-09-15,15.539999961853027
2020-09-16,15.739999771118164
2020-09-17,15.8100004196167
2020-09-18,16.079999923706055
2020-09-21,15.8100004196167
2020-09-22,15.760000228881836
2020-09-23,14.8100004196167
2020-09-24,14.300000190734863
2020-09-25,14.600000381469727
2020-09-28,14.170000076293945
2020-09-29,14.710000038146973
2020-09-30,14.75
2020-10-01,15.9399995803833
2020-10-02,15.609999656677246
2020-10-05,16.059999465942383
2020-10-06,15.9399995803833
2020-10-07,16.31999969482422
2020-10-08,16.690000534057617
2020-10-09,16.84000015258789
2020-10-12,16.75
2020-10-13,17.760000228881836
2020-10-14,20.3700008392334
2020-10-15,21.940000534057617
