,HRI
2019-07-18,40.90999984741211
2019-07-19,40.31999969482422
2019-07-22,40.58000183105469
2019-07-23,42.08000183105469
2019-07-24,43.68000030517578
2019-07-25,43.77000045776367
2019-07-26,44.90999984741211
2019-07-29,45.400001525878906
2019-07-30,46.060001373291016
2019-07-31,45.13999938964844
2019-08-01,45.84000015258789
2019-08-02,42.709999084472656
2019-08-05,41.25
2019-08-06,40.650001525878906
2019-08-07,41.45000076293945
2019-08-08,43.0
2019-08-09,42.09000015258789
2019-08-12,40.119998931884766
2019-08-13,40.470001220703125
2019-08-14,39.25
2019-08-15,39.380001068115234
2019-08-16,40.439998626708984
2019-08-19,41.540000915527344
2019-08-20,41.61000061035156
2019-08-21,42.29999923706055
2019-08-22,41.720001220703125
2019-08-23,38.650001525878906
2019-08-26,39.90999984741211
2019-08-27,37.869998931884766
2019-08-28,38.5099983215332
2019-08-29,40.7400016784668
2019-08-30,41.279998779296875
2019-09-03,39.97999954223633
2019-09-04,39.75
2019-09-05,41.529998779296875
2019-09-06,41.130001068115234
2019-09-09,43.5099983215332
2019-09-10,44.529998779296875
2019-09-11,46.060001373291016
2019-09-12,47.75
2019-09-13,49.0
2019-09-16,47.869998931884766
2019-09-17,47.34000015258789
2019-09-18,47.08000183105469
2019-09-19,45.209999084472656
2019-09-20,49.02000045776367
2019-09-23,49.09000015258789
2019-09-24,46.9900016784668
2019-09-25,48.81999969482422
2019-09-26,47.27000045776367
2019-09-27,46.45000076293945
2019-09-30,46.5099983215332
2019-10-01,43.470001220703125
2019-10-02,41.0
2019-10-03,41.47999954223633
2019-10-04,42.59000015258789
2019-10-07,42.279998779296875
2019-10-08,39.7599983215332
2019-10-09,40.84000015258789
2019-10-10,42.369998931884766
2019-10-11,44.40999984741211
2019-10-14,43.439998626708984
2019-10-15,43.970001220703125
2019-10-16,43.61000061035156
2019-10-17,46.40999984741211
2019-10-18,46.709999084472656
2019-10-21,47.290000915527344
2019-10-22,47.15999984741211
2019-10-23,44.060001373291016
2019-10-24,42.540000915527344
2019-10-25,44.06999969482422
2019-10-28,43.9900016784668
2019-10-29,45.65999984741211
2019-10-30,45.279998779296875
2019-10-31,44.2599983215332
