,ALPN
2018-10-04,5.820000171661377
2018-10-05,5.929999828338623
2018-10-08,5.929999828338623
2018-10-09,5.25
2018-10-10,5.309999942779541
2018-10-11,5.0
2018-10-12,5.0
2018-10-15,5.090000152587891
2018-10-16,5.199999809265137
2018-10-17,5.25
2018-10-18,5.196000099182129
2018-10-19,5.010000228881836
2018-10-22,5.139999866485596
2018-10-23,4.914999961853027
2018-10-24,4.840000152587891
2018-10-25,4.894999980926514
2018-10-26,4.96999979019165
2018-10-29,4.809999942779541
2018-10-30,4.630000114440918
2018-10-31,4.630000114440918
2018-11-01,5.0
2018-11-02,4.769999980926514
2018-11-05,4.71999979019165
2018-11-06,4.760000228881836
2018-11-07,4.822999954223633
2018-11-08,4.809999942779541
2018-11-09,4.800000190734863
2018-11-12,5.179999828338623
2018-11-13,5.139999866485596
2018-11-14,5.171000003814697
2018-11-15,5.139999866485596
2018-11-16,5.261000156402588
2018-11-19,5.039999961853027
2018-11-20,4.78000020980835
2018-11-21,4.900000095367432
2018-11-23,4.7820000648498535
2018-11-26,4.692999839782715
2018-11-27,4.860000133514404
2018-11-28,4.840000152587891
2018-11-29,4.824999809265137
2018-11-30,4.800000190734863
2018-12-03,4.800000190734863
2018-12-04,4.800000190734863
2018-12-06,4.800000190734863
2018-12-07,4.789999961853027
2018-12-10,4.800000190734863
2018-12-11,4.909999847412109
2018-12-12,4.800000190734863
2018-12-13,4.815000057220459
2018-12-14,4.800000190734863
2018-12-17,4.840000152587891
2018-12-18,4.650000095367432
2018-12-19,4.590000152587891
2018-12-20,4.75
2018-12-21,4.949999809265137
2018-12-24,4.190000057220459
2018-12-26,4.099999904632568
2018-12-27,3.9600000381469727
2018-12-28,3.9100000858306885
2018-12-31,3.680000066757202
2019-01-02,4.090000152587891
2019-01-03,4.400000095367432
2019-01-04,4.670000076293945
2019-01-07,4.820000171661377
2019-01-08,4.889999866485596
2019-01-09,4.78000020980835
2019-01-10,4.980000019073486
2019-01-11,5.25
2019-01-14,5.650000095367432
2019-01-15,5.929999828338623
2019-01-16,5.75
2019-01-17,5.400000095367432
2019-01-18,5.701000213623047
2019-01-22,5.400000095367432
2019-01-23,6.199999809265137
2019-01-24,7.099999904632568
2019-01-25,7.019999980926514
2019-01-28,6.894999980926514
2019-01-29,7.050000190734863
2019-01-30,6.650000095367432
2019-01-31,6.400000095367432
2019-02-01,6.409999847412109
2019-02-04,6.389999866485596
2019-02-05,6.28000020980835
2019-02-06,6.510000228881836
2019-02-07,6.480000019073486
2019-02-08,5.5
2019-02-11,5.739999771118164
2019-02-12,5.644999980926514
2019-02-13,5.585999965667725
2019-02-14,5.53000020980835
2019-02-15,5.769999980926514
2019-02-19,5.940000057220459
2019-02-20,6.0
2019-02-21,6.0
2019-02-22,6.639999866485596
2019-02-25,6.550000190734863
