,COMT
2017-11-01,35.9900016784668
2017-11-02,36.08000183105469
2017-11-03,36.33000183105469
2017-11-06,37.0
2017-11-07,36.84000015258789
2017-11-08,36.8390007019043
2017-11-09,36.849998474121094
2017-11-10,36.86000061035156
2017-11-13,36.709999084472656
2017-11-14,36.20000076293945
2017-11-15,36.06999969482422
2017-11-16,35.959999084472656
2017-11-17,36.400001525878906
2017-11-20,36.20000076293945
2017-11-21,36.38999938964844
2017-11-22,36.61000061035156
2017-11-24,36.83000183105469
2017-11-27,36.79999923706055
2017-11-28,36.810001373291016
2017-11-29,36.56999969482422
2017-11-30,36.5
2017-12-01,37.0
2017-12-04,36.5099983215332
2017-12-05,36.529998779296875
2017-12-06,35.9900016784668
2017-12-07,36.16999816894531
2017-12-08,36.45000076293945
2017-12-11,36.56999969482422
2017-12-12,36.36000061035156
2017-12-13,36.18000030517578
2017-12-14,36.22999954223633
2017-12-15,36.36000061035156
2017-12-18,36.599998474121094
2017-12-19,36.70000076293945
2017-12-20,36.91999816894531
2017-12-21,35.4900016784668
2017-12-22,35.63999938964844
2017-12-26,36.06999969482422
2017-12-27,36.13999938964844
2017-12-28,36.18000030517578
2017-12-29,36.34000015258789
2018-01-02,36.599998474121094
2018-01-03,36.83000183105469
2018-01-04,36.900001525878906
2018-01-05,36.86000061035156
2018-01-08,36.90999984741211
2018-01-09,37.22999954223633
2018-01-10,37.27000045776367
2018-01-11,37.459999084472656
2018-01-12,37.70000076293945
2018-01-16,37.470001220703125
2018-01-17,37.41999816894531
2018-01-18,37.459999084472656
2018-01-19,37.540000915527344
2018-01-22,37.709999084472656
2018-01-23,37.959999084472656
2018-01-24,38.29999923706055
2018-01-25,38.11000061035156
2018-01-26,38.41999816894531
2018-01-29,38.15999984741211
2018-01-30,37.880001068115234
2018-01-31,37.880001068115234
2018-02-01,38.10499954223633
2018-02-02,37.41999816894531
2018-02-05,36.72999954223633
2018-02-06,36.709999084472656
2018-02-07,36.279998779296875
2018-02-08,35.630001068115234
2018-02-09,35.15999984741211
2018-02-12,35.439998626708984
2018-02-13,35.54999923706055
2018-02-14,36.15999984741211
2018-02-15,36.34000015258789
2018-02-16,36.45000076293945
2018-02-20,36.43000030517578
2018-02-21,36.310001373291016
2018-02-22,36.75
2018-02-23,37.209999084472656
2018-02-26,37.38999938964844
2018-02-27,37.0099983215332
2018-02-28,36.40999984741211
2018-03-01,36.34000015258789
2018-03-02,36.31999969482422
2018-03-05,36.779998779296875
