,CCNC
2018-12-11,1.850000023841858
2018-12-12,1.850000023841858
2018-12-13,1.6299999952316284
2018-12-14,1.6299999952316284
2018-12-17,1.4329999685287476
2018-12-18,1.2999999523162842
2018-12-19,1.4620000123977661
2018-12-20,1.4620000123977661
2018-12-21,1.4620000123977661
2018-12-24,1.4620000123977661
2018-12-26,1.4620000123977661
2018-12-27,1.4620000123977661
2018-12-28,1.5299999713897705
2018-12-31,1.5299999713897705
2019-01-02,1.5299999713897705
2019-01-03,1.524999976158142
2019-01-04,1.5
2019-01-07,1.5
2019-01-08,1.5
2019-01-09,1.5
2019-01-10,1.2400000095367432
2019-01-11,1.2400000095367432
2019-01-14,1.25
2019-01-15,1.2100000381469727
2019-01-16,1.25
2019-01-17,1.25
2019-01-18,1.25
2019-01-22,1.2599999904632568
2019-01-23,1.2599999904632568
2019-01-24,1.2599999904632568
2019-01-25,1.2599999904632568
2019-01-28,1.2599999904632568
2019-01-29,1.2599999904632568
2019-01-30,1.2599999904632568
2019-01-31,2.4800000190734863
2019-02-01,5.519999980926514
2019-02-04,4.480000019073486
2019-02-05,5.119999885559082
2019-02-06,4.849999904632568
2019-02-07,4.440000057220459
2019-02-08,4.03000020980835
2019-02-11,3.5
2019-02-12,2.7799999713897705
2019-02-13,2.869999885559082
2019-02-14,2.5899999141693115
2019-02-15,2.390000104904175
2019-02-19,2.430000066757202
2019-02-20,2.319999933242798
2019-02-21,2.1500000953674316
2019-02-22,2.180000066757202
2019-02-25,2.3499999046325684
2019-02-26,2.3399999141693115
2019-02-27,2.259999990463257
2019-02-28,2.25
2019-03-01,2.380000114440918
2019-03-04,2.25
2019-03-05,2.259999990463257
2019-03-06,2.059999942779541
2019-03-07,2.009999990463257
2019-03-08,1.9800000190734863
2019-03-11,1.9900000095367432
2019-03-12,1.9420000314712524
2019-03-13,2.0399999618530273
2019-03-14,2.069999933242798
2019-03-15,2.0380001068115234
2019-03-18,1.9500000476837158
2019-03-19,1.9299999475479126
2019-03-20,1.9600000381469727
2019-03-21,1.9700000286102295
2019-03-22,1.8300000429153442
2019-03-25,1.809999942779541
2019-03-26,1.7100000381469727
