,APEN
2013-09-27,459.69000244140625
2013-09-30,429.6600036621094
2013-10-01,433.510009765625
2013-10-02,434.2799987792969
2013-10-03,418.8800048828125
2013-10-04,403.4800109863281
2013-10-07,382.69000244140625
2013-10-08,375.760009765625
2013-10-09,317.239990234375
2013-10-10,326.4800109863281
2013-10-11,361.1300048828125
2013-10-14,370.3699951171875
2013-10-15,385.0
2013-10-16,393.4700012207031
2013-10-17,393.4700012207031
2013-10-18,391.1600036621094
2013-10-21,382.69000244140625
2013-10-22,381.1499938964844
2013-10-23,384.2300109863281
2013-10-24,404.25
2013-10-25,392.70001220703125
2013-10-28,392.70001220703125
2013-10-29,392.70001220703125
2013-10-30,387.30999755859375
2013-10-31,390.3900146484375
2013-11-01,389.6199951171875
2013-11-04,385.7699890136719
2013-11-05,388.0799865722656
2013-11-06,398.0899963378906
2013-11-07,397.32000732421875
2013-11-08,398.0899963378906
2013-11-11,391.92999267578125
2013-11-12,399.6300048828125
2013-11-13,385.7699890136719
2013-11-14,390.3900146484375
2013-11-15,388.0799865722656
2013-11-18,386.5400085449219
2013-11-19,385.7699890136719
2013-11-20,376.5299987792969
2013-11-21,384.2300109863281
2013-11-22,378.8399963378906
2013-11-25,375.760009765625
2013-11-26,368.8299865722656
2013-11-27,353.42999267578125
2013-11-29,341.1099853515625
2013-12-02,341.8800048828125
2013-12-03,339.57000732421875
2013-12-04,338.79998779296875
2013-12-05,335.7200012207031
2013-12-06,334.95001220703125
2013-12-09,326.4800109863281
2013-12-10,322.6300048828125
2013-12-11,314.1600036621094
2013-12-12,328.0199890136719
2013-12-13,326.4800109863281
2013-12-16,327.25
2013-12-17,327.25
2013-12-18,320.32000732421875
2013-12-19,313.3900146484375
2013-12-20,324.1700134277344
2013-12-23,334.17999267578125
2013-12-24,348.80999755859375
2013-12-26,340.3399963378906
2013-12-27,338.79998779296875
2013-12-30,331.8699951171875
2013-12-31,328.0199890136719
2014-01-02,331.1000061035156
2014-01-03,331.8699951171875
2014-01-06,331.1000061035156
2014-01-07,335.7200012207031
2014-01-08,338.0299987792969
2014-01-09,340.3399963378906
2014-01-10,380.3800048828125
2014-01-13,393.4700012207031
2014-01-14,386.5400085449219
2014-01-15,374.989990234375
2014-01-16,377.29998779296875
2014-01-17,380.3800048828125
2014-01-21,388.0799865722656
2014-01-22,391.1600036621094
2014-01-23,388.0799865722656
2014-01-24,374.989990234375
2014-01-27,362.6700134277344
2014-01-28,366.5199890136719
2014-01-29,368.05999755859375
2014-01-30,367.2900085449219
2014-01-31,361.8999938964844
2014-02-03,344.19000244140625
2014-02-04,345.7300109863281
2014-02-05,341.1099853515625
2014-02-06,328.0199890136719
2014-02-07,342.6499938964844
2014-02-10,342.6499938964844
2014-02-11,344.9599914550781
2014-02-12,344.19000244140625
2014-02-13,344.19000244140625
2014-02-14,354.20001220703125
2014-02-18,360.3599853515625
2014-02-19,358.82000732421875
2014-02-20,357.2799987792969
2014-02-21,360.3599853515625
2014-02-24,359.5899963378906
2014-02-25,361.8999938964844
2014-02-26,364.2099914550781
2014-02-27,358.82000732421875
2014-02-28,357.2799987792969
2014-03-03,351.1199951171875
2014-03-04,352.6600036621094
2014-03-05,347.2699890136719
2014-03-06,371.1400146484375
2014-03-07,373.45001220703125
2014-03-10,358.82000732421875
2014-03-11,362.6700134277344
2014-03-12,368.05999755859375
2014-03-13,371.9100036621094
2014-03-14,383.4599914550781
2014-03-17,393.4700012207031
2014-03-18,393.4700012207031
2014-03-19,380.3800048828125
2014-03-20,372.67999267578125
