,AXNX
2021-03-04,55.68000030517578
2021-03-05,56.560001373291016
2021-03-08,55.880001068115234
2021-03-09,56.54999923706055
2021-03-10,58.560001373291016
2021-03-11,58.560001373291016
2021-03-12,58.119998931884766
2021-03-15,57.5099983215332
2021-03-16,55.97999954223633
2021-03-17,58.0
2021-03-18,55.439998626708984
2021-03-19,57.13999938964844
2021-03-22,58.880001068115234
2021-03-23,58.15999984741211
2021-03-24,54.619998931884766
2021-03-25,55.900001525878906
2021-03-26,56.54999923706055
2021-03-29,57.06999969482422
2021-03-30,57.650001525878906
2021-03-31,59.88999938964844
2021-04-01,58.61000061035156
2021-04-05,59.29999923706055
2021-04-06,59.83000183105469
2021-04-07,59.900001525878906
2021-04-08,60.0
2021-04-09,60.130001068115234
2021-04-12,59.25
2021-04-13,58.5
2021-04-14,59.939998626708984
2021-04-15,59.86000061035156
2021-04-16,59.83000183105469
2021-04-19,58.66999816894531
2021-04-20,58.619998931884766
2021-04-21,61.95000076293945
2021-04-22,61.52000045776367
2021-04-23,61.93000030517578
2021-04-26,62.630001068115234
2021-04-27,61.65999984741211
2021-04-28,63.2599983215332
2021-04-29,62.36000061035156
2021-04-30,62.93000030517578
2021-05-03,62.56999969482422
2021-05-04,57.869998931884766
2021-05-05,56.310001373291016
2021-05-06,56.0
2021-05-07,56.91999816894531
2021-05-10,53.08000183105469
2021-05-11,52.7400016784668
2021-05-12,52.060001373291016
2021-05-13,51.38999938964844
2021-05-14,54.029998779296875
