,FNWB
2018-01-24,17.010000228881836
2018-01-25,17.040000915527344
2018-01-26,16.940000534057617
2018-01-29,16.969999313354492
2018-01-30,16.989999771118164
2018-01-31,16.950000762939453
2018-02-01,17.0
2018-02-02,16.959999084472656
2018-02-05,16.360000610351562
2018-02-06,16.219999313354492
2018-02-07,16.520000457763672
2018-02-08,16.329999923706055
2018-02-09,16.40999984741211
2018-02-12,16.239999771118164
2018-02-13,16.110000610351562
2018-02-14,16.229999542236328
2018-02-15,16.170000076293945
2018-02-16,16.440000534057617
2018-02-20,16.020000457763672
2018-02-21,16.149999618530273
2018-02-22,16.020000457763672
2018-02-23,16.079999923706055
2018-02-26,16.049999237060547
2018-02-27,16.0
2018-02-28,16.0
2018-03-01,15.989999771118164
2018-03-02,16.030000686645508
2018-03-05,16.010000228881836
2018-03-06,16.040000915527344
2018-03-07,16.299999237060547
2018-03-08,16.59000015258789
2018-03-09,17.149999618530273
2018-03-12,17.06999969482422
2018-03-13,17.170000076293945
2018-03-14,17.139999389648438
2018-03-15,17.209999084472656
2018-03-16,17.239999771118164
2018-03-19,17.59000015258789
2018-03-20,17.6200008392334
2018-03-21,17.420000076293945
2018-03-22,16.93000030517578
2018-03-23,16.700000762939453
2018-03-26,16.829999923706055
2018-03-27,16.31999969482422
2018-03-28,16.469999313354492
2018-03-29,16.889999389648438
2018-04-02,16.270000457763672
2018-04-03,16.040000915527344
2018-04-04,16.200000762939453
2018-04-05,16.329999923706055
2018-04-06,16.719999313354492
2018-04-09,16.700000762939453
2018-04-10,16.829999923706055
2018-04-11,17.040000915527344
2018-04-12,16.889999389648438
2018-04-13,16.969999313354492
2018-04-16,16.93000030517578
2018-04-17,17.030000686645508
2018-04-18,17.010000228881836
2018-04-19,17.059999465942383
2018-04-20,16.920000076293945
2018-04-23,16.739999771118164
2018-04-24,16.93000030517578
2018-04-25,17.020000457763672
2018-04-26,16.790000915527344
2018-04-27,16.059999465942383
2018-04-30,16.06999969482422
2018-05-01,16.469999313354492
2018-05-02,16.3799991607666
2018-05-03,16.329999923706055
2018-05-04,16.459999084472656
2018-05-07,16.440000534057617
2018-05-08,16.59000015258789
2018-05-09,16.809999465942383
2018-05-10,16.700000762939453
2018-05-11,16.65999984741211
2018-05-14,16.31999969482422
2018-05-15,16.530000686645508
2018-05-16,16.530000686645508
2018-05-17,16.670000076293945
2018-05-18,16.3700008392334
2018-05-21,16.610000610351562
2018-05-22,16.559999465942383
2018-05-23,16.739999771118164
2018-05-24,16.920000076293945
2018-05-25,16.520000457763672
2018-05-29,16.280000686645508
2018-05-30,16.200000762939453
2018-05-31,16.309999465942383
2018-06-01,16.530000686645508
2018-06-04,16.489999771118164
2018-06-05,16.290000915527344
2018-06-06,16.479999542236328
2018-06-07,16.469999313354492
2018-06-08,16.399999618530273
2018-06-11,16.280000686645508
2018-06-12,16.100000381469727
2018-06-13,16.170000076293945
2018-06-14,16.229999542236328
2018-06-15,16.520000457763672
2018-06-18,16.489999771118164
2018-06-19,16.3700008392334
2018-06-20,16.420000076293945
2018-06-21,16.3700008392334
2018-06-22,16.1200008392334
2018-06-25,16.1200008392334
2018-06-26,16.239999771118164
2018-06-27,16.15999984741211
2018-06-28,16.239999771118164
2018-06-29,15.970000267028809
2018-07-02,16.06999969482422
2018-07-03,16.15999984741211
2018-07-05,16.06999969482422
2018-07-06,16.229999542236328
2018-07-09,16.100000381469727
2018-07-10,16.059999465942383
2018-07-11,16.110000610351562
2018-07-12,16.079999923706055
2018-07-13,16.030000686645508
2018-07-16,15.920000076293945
2018-07-17,15.40999984741211
2018-07-18,15.59000015258789
2018-07-19,15.6899995803833
2018-07-20,16.110000610351562
2018-07-23,15.989999771118164
2018-07-24,16.149999618530273
2018-07-25,16.110000610351562
2018-07-26,16.25
2018-07-27,16.200000762939453
2018-07-30,16.049999237060547
2018-07-31,16.18000030517578
2018-08-01,16.1200008392334
2018-08-02,15.949999809265137
2018-08-03,15.899999618530273
2018-08-06,16.040000915527344
2018-08-07,16.110000610351562
2018-08-08,16.030000686645508
2018-08-09,16.049999237060547
2018-08-10,15.920000076293945
2018-08-13,15.899999618530273
2018-08-14,16.06999969482422
2018-08-15,16.0
2018-08-16,16.260000228881836
2018-08-17,16.309999465942383
2018-08-20,16.389999389648438
2018-08-21,16.690000534057617
2018-08-22,16.6299991607666
2018-08-23,16.700000762939453
2018-08-24,16.670000076293945
2018-08-27,16.530000686645508
2018-08-28,16.6299991607666
2018-08-29,16.670000076293945
2018-08-30,16.6299991607666
2018-08-31,16.739999771118164
2018-09-04,16.700000762939453
2018-09-05,16.5
2018-09-06,16.6200008392334
2018-09-07,16.5
2018-09-10,16.690000534057617
2018-09-11,16.540000915527344
2018-09-12,16.170000076293945
2018-09-13,16.200000762939453
2018-09-14,16.229999542236328
2018-09-17,15.899999618530273
2018-09-18,15.319999694824219
2018-09-19,15.300000190734863
2018-09-20,15.3100004196167
2018-09-21,15.34000015258789
2018-09-24,15.3100004196167
2018-09-25,15.359999656677246
2018-09-26,15.5600004196167
2018-09-27,15.350000381469727
2018-09-28,15.399999618530273
2018-10-01,15.4399995803833
2018-10-02,15.479999542236328
2018-10-03,15.569999694824219
2018-10-04,15.579999923706055
2018-10-05,15.510000228881836
2018-10-08,15.600000381469727
2018-10-09,15.550000190734863
2018-10-10,15.460000038146973
2018-10-11,15.300000190734863
2018-10-12,15.0
2018-10-15,14.9399995803833
2018-10-16,15.279999732971191
2018-10-17,15.260000228881836
2018-10-18,14.979999542236328
2018-10-19,14.59000015258789
2018-10-22,14.829999923706055
2018-10-23,14.329999923706055
2018-10-24,13.729999542236328
2018-10-25,13.970000267028809
2018-10-26,14.119999885559082
2018-10-29,14.470000267028809
2018-10-30,14.550000190734863
2018-10-31,14.600000381469727
2018-11-01,14.699999809265137
2018-11-02,15.029999732971191
2018-11-05,15.170000076293945
2018-11-06,15.260000228881836
2018-11-07,15.350000381469727
2018-11-08,15.479999542236328
2018-11-09,15.449999809265137
2018-11-12,15.34000015258789
2018-11-13,15.520000457763672
2018-11-14,15.319999694824219
2018-11-15,15.420000076293945
2018-11-16,15.260000228881836
2018-11-19,15.260000228881836
2018-11-20,15.229999542236328
2018-11-21,15.289999961853027
2018-11-23,15.4399995803833
2018-11-26,15.40999984741211
2018-11-27,15.260000228881836
2018-11-28,15.4399995803833
2018-11-29,15.489999771118164
2018-11-30,15.479999542236328
2018-12-03,15.59000015258789
2018-12-04,15.109999656677246
2018-12-06,14.930000305175781
2018-12-07,15.039999961853027
2018-12-10,15.079999923706055
2018-12-11,15.199999809265137
2018-12-12,15.220000267028809
2018-12-13,15.149999618530273
2018-12-14,15.170000076293945
2018-12-17,15.069999694824219
2018-12-18,15.109999656677246
2018-12-19,15.140000343322754
2018-12-20,15.21500015258789
2018-12-21,15.260000228881836
2018-12-24,14.859999656677246
2018-12-26,15.149999618530273
2018-12-27,15.460000038146973
2018-12-28,15.149999618530273
2018-12-31,14.829999923706055
2019-01-02,15.199999809265137
2019-01-03,15.25
2019-01-04,15.3100004196167
2019-01-07,15.300000190734863
2019-01-08,15.430000305175781
2019-01-09,15.520000457763672
2019-01-10,15.34000015258789
2019-01-11,15.3100004196167
2019-01-14,15.260000228881836
2019-01-15,15.359999656677246
2019-01-16,15.399999618530273
2019-01-17,15.329999923706055
2019-01-18,15.3100004196167
2019-01-22,15.279999732971191
2019-01-23,15.350000381469727
2019-01-24,15.40999984741211
2019-01-25,15.229999542236328
2019-01-28,15.239999771118164
2019-01-29,15.270000457763672
2019-01-30,15.460000038146973
2019-01-31,15.270000457763672
2019-02-01,15.270000457763672
2019-02-04,15.5
2019-02-05,15.430000305175781
2019-02-06,15.640000343322754
2019-02-07,15.619999885559082
2019-02-08,15.6899995803833
2019-02-11,15.920000076293945
2019-02-12,15.9399995803833
2019-02-13,15.960000038146973
2019-02-14,15.859999656677246
2019-02-15,15.930000305175781
2019-02-19,15.989999771118164
2019-02-20,16.100000381469727
2019-02-21,16.229999542236328
2019-02-22,16.489999771118164
2019-02-25,16.25
2019-02-26,16.459999084472656
2019-02-27,16.559999465942383
2019-02-28,16.1200008392334
2019-03-01,16.200000762939453
2019-03-04,16.020000457763672
2019-03-05,15.880000114440918
2019-03-06,15.550000190734863
2019-03-07,15.420000076293945
2019-03-08,15.65999984741211
2019-03-11,16.09000015258789
2019-03-12,15.930000305175781
2019-03-13,16.020000457763672
2019-03-14,15.880000114440918
2019-03-15,16.040000915527344
2019-03-18,16.079999923706055
2019-03-19,15.869999885559082
2019-03-20,15.729999542236328
2019-03-21,15.279999732971191
2019-03-22,14.699999809265137
2019-03-25,15.34000015258789
2019-03-26,15.539999961853027
2019-03-27,15.399999618530273
2019-03-28,15.5
2019-03-29,15.569999694824219
2019-04-01,15.710000038146973
2019-04-02,16.100000381469727
2019-04-03,16.1299991607666
2019-04-04,16.190000534057617
2019-04-05,16.350000381469727
2019-04-08,16.110000610351562
2019-04-09,15.970000267028809
2019-04-10,16.25
2019-04-11,16.020000457763672
2019-04-12,16.0
2019-04-15,15.800000190734863
2019-04-16,16.0
2019-04-17,16.030000686645508
2019-04-18,16.110000610351562
2019-04-22,15.829999923706055
2019-04-23,15.960000038146973
2019-04-24,15.5
2019-04-25,15.850000381469727
2019-04-26,16.030000686645508
2019-04-29,16.190000534057617
2019-04-30,16.280000686645508
2019-05-01,16.040000915527344
2019-05-02,15.960000038146973
2019-05-03,16.270000457763672
2019-05-06,16.1200008392334
2019-05-07,16.110000610351562
2019-05-08,16.06999969482422
2019-05-09,16.1200008392334
2019-05-10,16.280000686645508
2019-05-13,16.100000381469727
2019-05-14,16.25
2019-05-15,16.280000686645508
2019-05-16,16.040000915527344
2019-05-17,16.100000381469727
2019-05-20,16.059999465942383
2019-05-21,16.25
2019-05-22,16.239999771118164
2019-05-23,15.970000267028809
2019-05-24,16.149999618530273
2019-05-28,16.09000015258789
2019-05-29,16.040000915527344
2019-05-30,16.18000030517578
2019-05-31,16.059999465942383
2019-06-03,16.200000762939453
2019-06-04,16.299999237060547
2019-06-05,16.059999465942383
2019-06-06,16.020000457763672
2019-06-07,16.110000610351562
2019-06-10,16.219999313354492
2019-06-11,16.299999237060547
2019-06-12,16.200000762939453
2019-06-13,16.25
2019-06-14,16.209999084472656
2019-06-17,16.239999771118164
2019-06-18,16.25
2019-06-19,16.43000030517578
2019-06-20,16.469999313354492
2019-06-21,16.399999618530273
2019-06-24,16.149999618530273
2019-06-25,16.260000228881836
2019-06-26,16.020000457763672
2019-06-27,16.280000686645508
2019-06-28,16.25
2019-07-01,16.350000381469727
2019-07-02,16.290000915527344
2019-07-03,16.399999618530273
2019-07-05,16.40999984741211
2019-07-08,16.260000228881836
2019-07-09,16.299999237060547
2019-07-10,16.18000030517578
2019-07-11,16.270000457763672
2019-07-12,16.149999618530273
2019-07-15,16.15999984741211
2019-07-16,16.18000030517578
2019-07-17,16.09000015258789
2019-07-18,16.209999084472656
2019-07-19,16.049999237060547
2019-07-22,16.09000015258789
2019-07-23,16.09000015258789
2019-07-24,16.079999923706055
