,CHW
2018-06-26,9.020000457763672
2018-06-27,8.890000343322754
2018-06-28,8.9399995803833
2018-06-29,9.0
2018-07-02,8.989999771118164
2018-07-03,8.979999542236328
2018-07-05,9.010000228881836
2018-07-06,8.989999771118164
2018-07-09,9.050000190734863
2018-07-10,9.119999885559082
2018-07-11,9.0600004196167
2018-07-12,8.9399995803833
2018-07-13,8.949999809265137
2018-07-16,8.970000267028809
2018-07-17,9.0
2018-07-18,9.0
2018-07-19,9.029999732971191
2018-07-20,9.069999694824219
2018-07-23,9.09000015258789
2018-07-24,9.140000343322754
2018-07-25,9.130000114440918
2018-07-26,9.15999984741211
2018-07-27,9.130000114440918
2018-07-30,9.050000190734863
2018-07-31,9.0600004196167
2018-08-01,9.0600004196167
2018-08-02,9.109999656677246
2018-08-03,9.100000381469727
2018-08-06,9.109999656677246
2018-08-07,9.15999984741211
2018-08-08,9.149999618530273
2018-08-09,9.170000076293945
2018-08-10,9.050000190734863
2018-08-13,9.029999732971191
2018-08-14,9.0
2018-08-15,8.930000305175781
2018-08-16,8.9399995803833
2018-08-17,8.989999771118164
2018-08-20,9.0
2018-08-21,9.079999923706055
2018-08-22,9.09000015258789
2018-08-23,9.050000190734863
2018-08-24,9.069999694824219
2018-08-27,9.180000305175781
2018-08-28,9.15999984741211
2018-08-29,9.170000076293945
2018-08-30,9.170000076293945
2018-08-31,9.140000343322754
2018-09-04,9.079999923706055
2018-09-05,9.079999923706055
2018-09-06,9.1899995803833
2018-09-07,9.109999656677246
2018-09-10,9.180000305175781
2018-09-11,9.279999732971191
2018-09-12,9.399999618530273
2018-09-13,9.369999885559082
2018-09-14,9.220000267028809
2018-09-17,9.100000381469727
2018-09-18,9.149999618530273
2018-09-19,9.1899995803833
2018-09-20,9.170000076293945
2018-09-21,9.170000076293945
2018-09-24,9.140000343322754
2018-09-25,9.109999656677246
2018-09-26,9.069999694824219
2018-09-27,9.0600004196167
2018-09-28,9.0600004196167
2018-10-01,9.100000381469727
2018-10-02,8.970000267028809
2018-10-03,8.970000267028809
2018-10-04,8.779999732971191
2018-10-05,8.529999732971191
2018-10-08,8.350000381469727
2018-10-09,8.279999732971191
2018-10-10,7.860000133514404
2018-10-11,7.590000152587891
2018-10-12,7.829999923706055
2018-10-15,7.869999885559082
2018-10-16,8.050000190734863
2018-10-17,8.069999694824219
2018-10-18,7.920000076293945
2018-10-19,7.949999809265137
2018-10-22,7.909999847412109
2018-10-23,7.820000171661377
2018-10-24,7.650000095367432
2018-10-25,7.71999979019165
2018-10-26,7.559999942779541
2018-10-29,7.489999771118164
2018-10-30,7.53000020980835
2018-10-31,7.590000152587891
2018-11-01,7.78000020980835
2018-11-02,7.690000057220459
2018-11-05,7.809999942779541
2018-11-06,7.920000076293945
2018-11-07,8.039999961853027
2018-11-08,8.039999961853027
2018-11-09,7.929999828338623
2018-11-12,7.650000095367432
2018-11-13,7.699999809265137
2018-11-14,7.650000095367432
2018-11-15,7.699999809265137
2018-11-16,7.630000114440918
2018-11-19,7.510000228881836
2018-11-20,7.369999885559082
2018-11-21,7.440000057220459
2018-11-23,7.460000038146973
2018-11-26,7.400000095367432
2018-11-27,7.25
2018-11-28,7.329999923706055
2018-11-29,7.389999866485596
2018-11-30,7.5
2018-12-03,7.670000076293945
2018-12-04,7.539999961853027
2018-12-06,7.440000057220459
2018-12-07,7.309999942779541
2018-12-10,7.289999961853027
2018-12-11,7.269999980926514
2018-12-12,7.269999980926514
2018-12-13,7.179999828338623
2018-12-14,7.03000020980835
2018-12-17,6.690000057220459
2018-12-18,6.630000114440918
2018-12-19,6.639999866485596
2018-12-20,6.389999866485596
2018-12-21,6.179999828338623
2018-12-24,6.21999979019165
2018-12-26,6.449999809265137
2018-12-27,6.460000038146973
2018-12-28,6.460000038146973
2018-12-31,6.550000190734863
2019-01-02,6.75
2019-01-03,6.760000228881836
2019-01-04,6.880000114440918
2019-01-07,7.059999942779541
2019-01-08,7.159999847412109
2019-01-09,7.199999809265137
2019-01-10,7.199999809265137
2019-01-11,7.150000095367432
2019-01-14,7.059999942779541
2019-01-15,7.25
2019-01-16,7.340000152587891
2019-01-17,7.369999885559082
2019-01-18,7.460000038146973
2019-01-22,7.429999828338623
2019-01-23,7.460000038146973
2019-01-24,7.460000038146973
2019-01-25,7.480000019073486
2019-01-28,7.550000190734863
2019-01-29,7.539999961853027
2019-01-30,7.650000095367432
2019-01-31,7.710000038146973
2019-02-01,7.659999847412109
2019-02-04,7.639999866485596
2019-02-05,7.71999979019165
2019-02-06,7.710000038146973
2019-02-07,7.679999828338623
2019-02-08,7.679999828338623
2019-02-11,7.639999866485596
2019-02-12,7.670000076293945
2019-02-13,7.679999828338623
2019-02-14,7.670000076293945
2019-02-15,7.71999979019165
2019-02-19,7.769999980926514
