,BAB
2019-05-21,30.530000686645508
2019-05-22,30.639999389648438
2019-05-23,30.780000686645508
2019-05-24,30.790000915527344
2019-05-28,30.979999542236328
2019-05-29,30.979999542236328
2019-05-30,31.040000915527344
2019-05-31,31.25
2019-06-03,31.389999389648438
2019-06-04,31.25
2019-06-05,31.209999084472656
2019-06-06,31.219999313354492
2019-06-07,31.31999969482422
2019-06-10,31.229999542236328
2019-06-11,31.15999984741211
2019-06-12,31.219999313354492
2019-06-13,31.280000686645508
2019-06-14,31.280000686645508
2019-06-17,31.329999923706055
2019-06-18,31.40999984741211
2019-06-19,31.440000534057617
2019-06-20,31.489999771118164
2019-06-21,31.350000381469727
2019-06-24,31.360000610351562
2019-06-25,31.450000762939453
2019-06-26,31.31999969482422
2019-06-27,31.420000076293945
2019-06-28,31.440000534057617
2019-07-01,31.399999618530273
2019-07-02,31.469999313354492
2019-07-03,31.59000015258789
2019-07-05,31.43000030517578
2019-07-08,31.450000762939453
2019-07-09,31.389999389648438
2019-07-10,31.399999618530273
2019-07-11,31.209999084472656
2019-07-12,31.200000762939453
2019-07-15,31.280000686645508
2019-07-16,31.260000228881836
2019-07-17,31.399999618530273
2019-07-18,31.489999771118164
2019-07-19,31.450000762939453
2019-07-22,31.3700008392334
2019-07-23,31.329999923706055
2019-07-24,31.3799991607666
2019-07-25,31.329999923706055
2019-07-26,31.329999923706055
2019-07-29,31.350000381469727
2019-07-30,31.360000610351562
2019-07-31,31.510000228881836
2019-08-01,31.850000381469727
2019-08-02,31.93000030517578
2019-08-05,32.189998626708984
2019-08-06,32.310001373291016
2019-08-07,32.34000015258789
2019-08-08,32.25
2019-08-09,32.310001373291016
2019-08-12,32.599998474121094
2019-08-13,32.54999923706055
2019-08-14,32.790000915527344
2019-08-15,33.02000045776367
2019-08-16,33.040000915527344
2019-08-19,32.720001220703125
2019-08-20,32.779998779296875
2019-08-21,32.7400016784668
2019-08-22,32.63999938964844
2019-08-23,32.849998474121094
2019-08-26,32.810001373291016
2019-08-27,33.0
