,FDT
2017-05-01,53.810001373291016
2017-05-02,54.09000015258789
2017-05-03,53.75
2017-05-04,53.97999954223633
2017-05-05,54.31999969482422
2017-05-08,54.36000061035156
2017-05-09,54.310001373291016
2017-05-10,54.400001525878906
2017-05-11,54.36000061035156
2017-05-12,54.380001068115234
2017-05-15,54.66999816894531
2017-05-16,54.88999938964844
2017-05-17,54.150001525878906
2017-05-18,54.220001220703125
2017-05-19,54.91999816894531
2017-05-22,55.099998474121094
2017-05-23,54.959999084472656
2017-05-24,55.209999084472656
2017-05-25,55.27000045776367
2017-05-26,55.2599983215332
2017-05-30,55.36000061035156
2017-05-31,55.34000015258789
2017-06-01,55.720001220703125
2017-06-02,56.439998626708984
2017-06-05,56.15999984741211
2017-06-06,56.09000015258789
2017-06-07,56.220001220703125
2017-06-08,56.130001068115234
2017-06-09,55.90999984741211
2017-06-12,55.560001373291016
2017-06-13,56.09000015258789
2017-06-14,56.0
2017-06-15,55.189998626708984
2017-06-16,55.540000915527344
2017-06-19,55.79999923706055
2017-06-20,55.349998474121094
2017-06-21,55.290000915527344
2017-06-22,55.029998779296875
2017-06-23,55.11000061035156
2017-06-26,55.18000030517578
2017-06-27,55.08000183105469
2017-06-28,55.560001373291016
2017-06-29,54.9900016784668
2017-06-30,55.22999954223633
2017-07-03,55.20000076293945
2017-07-05,55.20000076293945
2017-07-06,54.869998931884766
2017-07-07,55.029998779296875
2017-07-10,55.369998931884766
2017-07-11,55.56999969482422
2017-07-12,55.970001220703125
2017-07-13,56.290000915527344
2017-07-14,56.91999816894531
2017-07-17,56.81999969482422
2017-07-18,56.97999954223633
2017-07-19,57.2599983215332
2017-07-20,57.400001525878906
2017-07-21,57.18000030517578
2017-07-24,57.16999816894531
2017-07-25,57.02000045776367
2017-07-26,57.560001373291016
2017-07-27,57.310001373291016
2017-07-28,57.38999938964844
2017-07-31,57.4900016784668
2017-08-01,57.70000076293945
2017-08-02,57.849998474121094
2017-08-03,57.68000030517578
2017-08-04,57.810001373291016
2017-08-07,57.9900016784668
2017-08-08,57.84000015258789
2017-08-09,57.56999969482422
2017-08-10,56.70000076293945
2017-08-11,56.56999969482422
2017-08-14,57.08000183105469
2017-08-15,57.06999969482422
2017-08-16,57.38999938964844
2017-08-17,56.70000076293945
2017-08-18,56.970001220703125
2017-08-21,57.02000045776367
2017-08-22,57.560001373291016
2017-08-23,57.58000183105469
2017-08-24,57.349998474121094
2017-08-25,57.79999923706055
2017-08-28,57.7400016784668
2017-08-29,57.459999084472656
2017-08-30,57.630001068115234
2017-08-31,58.0099983215332
2017-09-01,58.09000015258789
2017-09-05,57.66999816894531
2017-09-06,57.95000076293945
2017-09-07,58.470001220703125
2017-09-08,58.4900016784668
2017-09-11,59.0099983215332
2017-09-12,59.130001068115234
2017-09-13,58.84000015258789
2017-09-14,59.029998779296875
2017-09-15,59.119998931884766
2017-09-18,59.34000015258789
2017-09-19,59.47999954223633
2017-09-20,59.25
2017-09-21,59.040000915527344
2017-09-22,59.119998931884766
2017-09-25,58.630001068115234
2017-09-26,58.59000015258789
2017-09-27,58.630001068115234
2017-09-28,58.77000045776367
2017-09-29,59.150001525878906
2017-10-02,59.06999969482422
2017-10-03,59.4900016784668
2017-10-04,59.369998931884766
2017-10-05,59.4900016784668
2017-10-06,59.310001373291016
2017-10-09,59.279998779296875
2017-10-10,59.91999816894531
2017-10-11,60.09000015258789
2017-10-12,60.04999923706055
2017-10-13,60.5099983215332
2017-10-16,60.5099983215332
2017-10-17,60.27000045776367
2017-10-18,60.33000183105469
2017-10-19,59.959999084472656
2017-10-20,60.060001373291016
2017-10-23,60.040000915527344
2017-10-24,60.22999954223633
2017-10-25,60.060001373291016
2017-10-26,59.97999954223633
2017-10-27,60.060001373291016
2017-10-30,60.150001525878906
2017-10-31,60.52000045776367
2017-11-01,60.970001220703125
2017-11-02,61.25
2017-11-03,61.25
2017-11-06,61.22999954223633
2017-11-07,61.08000183105469
2017-11-08,61.189998626708984
2017-11-09,60.7400016784668
2017-11-10,60.66999816894531
2017-11-13,60.2400016784668
2017-11-14,60.04999923706055
2017-11-15,59.65999984741211
2017-11-16,60.470001220703125
2017-11-17,60.130001068115234
2017-11-20,60.43000030517578
2017-11-21,61.040000915527344
2017-11-22,61.2599983215332
2017-11-24,61.56999969482422
2017-11-27,61.06999969482422
2017-11-28,61.36000061035156
2017-11-29,61.08000183105469
2017-11-30,61.15999984741211
2017-12-01,61.0099983215332
2017-12-04,60.7599983215332
2017-12-05,60.66999816894531
2017-12-06,60.220001220703125
2017-12-07,60.380001068115234
2017-12-08,60.779998779296875
