,AOSL
2017-05-24,18.670000076293945
2017-05-25,18.6299991607666
2017-05-26,19.149999618530273
2017-05-30,18.829999923706055
2017-05-31,18.6200008392334
2017-06-01,18.959999084472656
2017-06-02,19.020000457763672
2017-06-05,19.09000015258789
2017-06-06,19.309999465942383
2017-06-07,19.479999542236328
2017-06-08,20.010000228881836
2017-06-09,19.149999618530273
2017-06-12,18.639999389648438
2017-06-13,18.520000457763672
2017-06-14,18.239999771118164
2017-06-15,17.700000762939453
2017-06-16,17.65999984741211
2017-06-19,17.760000228881836
2017-06-20,17.309999465942383
2017-06-21,17.200000762939453
2017-06-22,17.290000915527344
2017-06-23,17.329999923706055
2017-06-26,17.270000457763672
2017-06-27,16.84000015258789
2017-06-28,17.479999542236328
2017-06-29,17.09000015258789
2017-06-30,16.670000076293945
2017-07-03,16.43000030517578
2017-07-05,16.649999618530273
2017-07-06,16.34000015258789
2017-07-07,16.899999618530273
2017-07-10,16.84000015258789
2017-07-11,16.760000228881836
2017-07-12,17.31999969482422
2017-07-13,17.829999923706055
2017-07-14,17.68000030517578
2017-07-17,17.920000076293945
2017-07-18,17.690000534057617
2017-07-19,18.229999542236328
2017-07-20,18.3700008392334
2017-07-21,18.219999313354492
2017-07-24,17.729999542236328
2017-07-25,18.209999084472656
2017-07-26,18.270000457763672
2017-07-27,18.040000915527344
2017-07-28,17.940000534057617
2017-07-31,17.700000762939453
2017-08-01,17.780000686645508
2017-08-02,17.290000915527344
2017-08-03,16.729999542236328
2017-08-04,16.469999313354492
2017-08-07,17.329999923706055
2017-08-08,17.229999542236328
2017-08-09,17.110000610351562
2017-08-10,15.359999656677246
2017-08-11,15.779999732971191
2017-08-14,16.040000915527344
2017-08-15,15.460000038146973
2017-08-16,15.609999656677246
2017-08-17,14.960000038146973
2017-08-18,15.350000381469727
2017-08-21,14.920000076293945
2017-08-22,15.0600004196167
2017-08-23,15.399999618530273
2017-08-24,15.5600004196167
2017-08-25,15.359999656677246
2017-08-28,15.579999923706055
2017-08-29,15.630000114440918
2017-08-30,15.729999542236328
2017-08-31,15.880000114440918
2017-09-01,15.989999771118164
2017-09-05,15.960000038146973
2017-09-06,16.049999237060547
2017-09-07,15.520000457763672
2017-09-08,15.079999923706055
2017-09-11,15.220000267028809
2017-09-12,15.170000076293945
2017-09-13,15.15999984741211
2017-09-14,15.15999984741211
2017-09-15,15.100000381469727
2017-09-18,15.850000381469727
2017-09-19,15.609999656677246
2017-09-20,15.430000305175781
2017-09-21,15.579999923706055
2017-09-22,15.699999809265137
2017-09-25,15.40999984741211
2017-09-26,15.8100004196167
2017-09-27,16.43000030517578
2017-09-28,16.6299991607666
2017-09-29,16.489999771118164
2017-10-02,17.06999969482422
2017-10-03,17.18000030517578
2017-10-04,17.1299991607666
2017-10-05,17.149999618530273
2017-10-06,17.149999618530273
2017-10-09,17.450000762939453
2017-10-10,17.5
2017-10-11,17.420000076293945
2017-10-12,17.309999465942383
2017-10-13,17.440000534057617
2017-10-16,17.440000534057617
2017-10-17,17.360000610351562
2017-10-18,17.469999313354492
2017-10-19,17.440000534057617
2017-10-20,17.790000915527344
2017-10-23,17.559999465942383
2017-10-24,17.540000915527344
2017-10-25,17.6299991607666
2017-10-26,17.459999084472656
2017-10-27,17.75
2017-10-30,17.649999618530273
2017-10-31,18.43000030517578
2017-11-01,18.31999969482422
2017-11-02,18.6200008392334
2017-11-03,17.40999984741211
2017-11-06,17.639999389648438
2017-11-07,17.520000457763672
2017-11-08,17.559999465942383
2017-11-09,17.709999084472656
2017-11-10,17.739999771118164
2017-11-13,17.709999084472656
2017-11-14,17.709999084472656
2017-11-15,17.420000076293945
2017-11-16,17.690000534057617
2017-11-17,17.56999969482422
2017-11-20,17.84000015258789
2017-11-21,17.989999771118164
2017-11-22,17.969999313354492
2017-11-24,17.93000030517578
2017-11-27,18.010000228881836
2017-11-28,18.0
2017-11-29,17.65999984741211
2017-11-30,17.610000610351562
2017-12-01,17.530000686645508
2017-12-04,17.34000015258789
2017-12-05,17.329999923706055
2017-12-06,17.149999618530273
2017-12-07,17.489999771118164
2017-12-08,17.43000030517578
2017-12-11,17.5
2017-12-12,17.459999084472656
2017-12-13,17.479999542236328
2017-12-14,17.18000030517578
2017-12-15,17.200000762939453
2017-12-18,17.520000457763672
2017-12-19,17.510000228881836
2017-12-20,17.360000610351562
2017-12-21,17.309999465942383
2017-12-22,17.299999237060547
2017-12-26,16.950000762939453
2017-12-27,16.6299991607666
2017-12-28,16.6200008392334
2017-12-29,16.360000610351562
2018-01-02,16.84000015258789
2018-01-03,17.450000762939453
2018-01-04,17.34000015258789
2018-01-05,17.510000228881836
2018-01-08,17.739999771118164
2018-01-09,17.3700008392334
2018-01-10,17.350000381469727
2018-01-11,17.3799991607666
2018-01-12,17.469999313354492
2018-01-16,17.399999618530273
2018-01-17,17.649999618530273
2018-01-18,17.520000457763672
2018-01-19,17.6299991607666
2018-01-22,17.600000381469727
2018-01-23,17.649999618530273
2018-01-24,17.270000457763672
2018-01-25,16.84000015258789
2018-01-26,17.200000762939453
2018-01-29,16.809999465942383
2018-01-30,16.81999969482422
2018-01-31,16.790000915527344
2018-02-01,16.719999313354492
2018-02-02,16.010000228881836
2018-02-05,15.380000114440918
2018-02-06,15.15999984741211
2018-02-07,15.25
2018-02-08,14.579999923706055
2018-02-09,14.460000038146973
2018-02-12,14.289999961853027
2018-02-13,13.9399995803833
2018-02-14,14.399999618530273
2018-02-15,14.15999984741211
2018-02-16,14.569999694824219
2018-02-20,14.520000457763672
2018-02-21,14.670000076293945
2018-02-22,14.829999923706055
2018-02-23,15.09000015258789
2018-02-26,15.449999809265137
2018-02-27,15.449999809265137
2018-02-28,15.369999885559082
2018-03-01,15.329999923706055
2018-03-02,15.720000267028809
2018-03-05,15.65999984741211
2018-03-06,15.770000457763672
2018-03-07,16.18000030517578
2018-03-08,16.010000228881836
2018-03-09,16.389999389648438
2018-03-12,16.729999542236328
2018-03-13,16.579999923706055
2018-03-14,16.209999084472656
2018-03-15,16.219999313354492
2018-03-16,16.959999084472656
2018-03-19,16.559999465942383
2018-03-20,16.530000686645508
2018-03-21,16.610000610351562
2018-03-22,16.290000915527344
2018-03-23,16.0
2018-03-26,16.299999237060547
2018-03-27,15.470000267028809
2018-03-28,15.460000038146973
2018-03-29,15.449999809265137
2018-04-02,15.050000190734863
2018-04-03,15.039999961853027
2018-04-04,15.279999732971191
2018-04-05,15.420000076293945
2018-04-06,15.300000190734863
2018-04-09,15.300000190734863
2018-04-10,15.449999809265137
2018-04-11,15.5
2018-04-12,15.510000228881836
2018-04-13,15.630000114440918
