,EQRR
2019-11-05,42.47999954223633
2019-11-06,42.060001373291016
2019-11-07,42.619998931884766
2019-11-08,42.57500076293945
2019-11-11,42.22999954223633
2019-11-12,42.619998931884766
2019-11-13,41.86000061035156
2019-11-14,41.810001373291016
2019-11-15,41.970001220703125
2019-11-18,41.75
2019-11-19,41.64799880981445
2019-11-20,41.47999954223633
2019-11-21,41.5
2019-11-22,41.5
2019-11-25,42.45000076293945
2019-11-26,42.45000076293945
2019-11-27,42.45000076293945
2019-11-29,42.45000076293945
2019-12-02,42.45000076293945
2019-12-03,42.45000076293945
2019-12-04,42.45000076293945
2019-12-05,41.78300094604492
2019-12-06,41.78300094604492
2019-12-09,42.56800079345703
2019-12-10,42.47999954223633
2019-12-11,42.678001403808594
2019-12-12,43.47999954223633
2019-12-13,43.47999954223633
2019-12-16,43.88999938964844
2019-12-17,43.84000015258789
2019-12-18,43.84000015258789
2019-12-19,43.84000015258789
2019-12-20,43.84000015258789
2019-12-23,43.84000015258789
2019-12-24,43.84000015258789
2019-12-26,43.84000015258789
2019-12-27,43.84000015258789
2019-12-30,43.84000015258789
2019-12-31,43.560001373291016
2020-01-02,43.560001373291016
2020-01-03,43.560001373291016
2020-01-06,43.4109992980957
2020-01-07,43.4109992980957
2020-01-08,43.26900100708008
2020-01-09,43.465999603271484
2020-01-10,43.143001556396484
2020-01-13,43.143001556396484
2020-01-14,43.55699920654297
2020-01-15,43.55699920654297
2020-01-16,43.55699920654297
2020-01-17,43.55699920654297
2020-01-21,43.29999923706055
2020-01-22,42.78099822998047
2020-01-23,42.54999923706055
2020-01-24,42.689998626708984
2020-01-27,40.474998474121094
2020-01-28,41.01300048828125
2020-01-29,41.15999984741211
2020-01-30,40.15999984741211
2020-01-31,39.86899948120117
2020-02-03,40.0099983215332
2020-02-04,41.099998474121094
2020-02-05,42.159000396728516
2020-02-06,42.029998779296875
2020-02-07,41.5099983215332
2020-02-10,41.24800109863281
2020-02-11,41.73099899291992
2020-02-12,42.20500183105469
2020-02-13,41.8849983215332
2020-02-14,41.55799865722656
2020-02-18,41.150001525878906
2020-02-19,41.150001525878906
2020-02-20,41.150001525878906
2020-02-21,40.94200134277344
2020-02-24,40.94200134277344
2020-02-25,38.0
2020-02-26,36.290000915527344
2020-02-27,34.79800033569336
2020-02-28,34.4119987487793
2020-03-02,34.4119987487793
2020-03-03,34.15999984741211
2020-03-04,34.15999984741211
2020-03-05,33.880001068115234
2020-03-06,31.709999084472656
2020-03-09,26.739999771118164
2020-03-10,27.190000534057617
2020-03-11,27.190000534057617
2020-03-12,27.190000534057617
2020-03-13,25.8799991607666
2020-03-16,22.44099998474121
2020-03-17,23.03499984741211
2020-03-18,20.739999771118164
2020-03-19,20.989999771118164
2020-03-20,20.989999771118164
2020-03-23,20.950000762939453
2020-03-24,22.610000610351562
2020-03-25,23.801000595092773
2020-03-26,25.01799964904785
2020-03-27,23.6200008392334
2020-03-30,23.847999572753906
2020-03-31,23.847999572753906
2020-04-01,23.847999572753906
2020-04-02,23.062000274658203
2020-04-03,23.062000274658203
2020-04-06,24.548999786376953
2020-04-07,24.9060001373291
2020-04-08,25.850000381469727
2020-04-09,25.850000381469727
2020-04-13,25.850000381469727
2020-04-14,26.191999435424805
2020-04-15,24.933000564575195
2020-04-16,24.43000030517578
2020-04-17,25.559999465942383
2020-04-20,25.510000228881836
2020-04-21,25.0
2020-04-22,25.43000030517578
2020-04-23,25.700000762939453
2020-04-24,25.700000762939453
2020-04-27,26.780000686645508
2020-04-28,26.780000686645508
2020-04-29,26.780000686645508
2020-04-30,26.780000686645508
2020-05-01,26.780000686645508
2020-05-04,26.780000686645508
2020-05-05,26.780000686645508
2020-05-06,26.780000686645508
2020-05-07,26.780000686645508
2020-05-08,27.68000030517578
2020-05-11,27.68000030517578
2020-05-12,26.790000915527344
2020-05-13,26.790000915527344
2020-05-14,26.110000610351562
2020-05-15,26.100000381469727
2020-05-18,27.908000946044922
2020-05-19,27.908000946044922
2020-05-20,28.040000915527344
2020-05-21,27.8700008392334
2020-05-22,27.3799991607666
2020-05-26,29.0
2020-05-27,29.68899917602539
2020-05-28,29.290000915527344
2020-05-29,28.6299991607666
2020-06-01,28.6299991607666
2020-06-02,28.6299991607666
2020-06-03,30.947999954223633
2020-06-04,30.959999084472656
