,CREE
1997-07-18,3.90625
1997-07-21,3.96875
1997-07-22,4.34375
1997-07-23,4.3125
1997-07-24,4.28125
1997-07-25,4.28125
1997-07-28,4.25
1997-07-29,4.15625
1997-07-30,4.46875
1997-07-31,4.75
1997-08-01,4.9375
1997-08-04,4.875
1997-08-05,4.5625
1997-08-06,4.40625
1997-08-07,4.34375
1997-08-08,4.28125
1997-08-11,4.40625
1997-08-12,4.28125
1997-08-13,4.15625
1997-08-14,4.03125
1997-08-15,3.8125
1997-08-18,3.875
1997-08-19,4.34375
1997-08-20,4.28125
1997-08-21,4.3125
1997-08-22,4.15625
1997-08-25,4.25
1997-08-26,4.15625
1997-08-27,4.1875
1997-08-28,4.15625
1997-08-29,4.25
1997-09-02,4.375
1997-09-03,4.625
1997-09-04,4.625
1997-09-05,4.6875
1997-09-08,4.53125
1997-09-09,4.6875
1997-09-10,4.75
1997-09-11,4.625
1997-09-12,4.8125
1997-09-15,4.96875
1997-09-16,4.84375
1997-09-17,4.75
1997-09-18,4.875
1997-09-19,4.75
1997-09-22,4.875
1997-09-23,5.0
1997-09-24,4.84375
1997-09-25,4.59375
1997-09-26,4.59375
1997-09-29,4.78125
1997-09-30,4.71875
1997-10-01,4.6875
1997-10-02,4.671875
1997-10-03,4.53125
1997-10-06,4.875
1997-10-07,5.09375
1997-10-08,5.546875
1997-10-09,5.9375
1997-10-10,5.75
1997-10-13,5.9375
1997-10-14,5.625
1997-10-15,5.46875
1997-10-16,5.46875
1997-10-17,5.34375
