,BANX
2016-05-02,17.450000762939453
2016-05-03,17.440000534057617
2016-05-04,17.229999542236328
2016-05-05,17.190000534057617
2016-05-06,17.75
2016-05-09,17.190000534057617
2016-05-10,17.15999984741211
2016-05-11,16.93000030517578
2016-05-12,16.56999969482422
2016-05-13,16.93000030517578
2016-05-16,16.670000076293945
2016-05-17,16.6299991607666
2016-05-18,17.020000457763672
2016-05-19,16.600000381469727
2016-05-20,16.68000030517578
2016-05-23,16.65999984741211
2016-05-24,16.780000686645508
2016-05-25,16.8799991607666
2016-05-26,16.780000686645508
2016-05-27,16.600000381469727
2016-05-31,16.81999969482422
2016-06-01,17.309999465942383
2016-06-02,17.739999771118164
2016-06-03,17.739999771118164
2016-06-06,17.860000610351562
2016-06-07,17.8700008392334
2016-06-08,17.950000762939453
2016-06-09,17.950000762939453
2016-06-10,17.959999084472656
2016-06-13,17.84000015258789
2016-06-14,17.84000015258789
2016-06-15,17.790000915527344
2016-06-16,17.790000915527344
2016-06-17,17.860000610351562
2016-06-20,18.049999237060547
2016-06-21,18.030000686645508
2016-06-22,18.049999237060547
2016-06-23,17.940000534057617
2016-06-24,17.950000762939453
2016-06-27,17.649999618530273
2016-06-28,18.260000228881836
2016-06-29,18.309999465942383
2016-06-30,18.34000015258789
2016-07-01,18.299999237060547
2016-07-05,18.25
2016-07-06,18.3799991607666
2016-07-07,18.579999923706055
2016-07-08,18.690000534057617
2016-07-11,18.670000076293945
2016-07-12,18.670000076293945
2016-07-13,18.690000534057617
2016-07-14,18.690000534057617
2016-07-15,18.700000762939453
2016-07-18,18.690000534057617
2016-07-19,18.760000228881836
2016-07-20,19.15999984741211
2016-07-21,19.110000610351562
2016-07-22,18.850000381469727
2016-07-25,18.809999465942383
2016-07-26,18.84000015258789
2016-07-27,18.809999465942383
2016-07-28,19.1200008392334
2016-07-29,18.610000610351562
2016-08-01,18.780000686645508
2016-08-02,18.780000686645508
2016-08-03,18.75
2016-08-04,19.059999465942383
2016-08-05,19.190000534057617
2016-08-08,18.799999237060547
2016-08-09,18.489999771118164
2016-08-10,18.739999771118164
2016-08-11,18.690000534057617
2016-08-12,18.809999465942383
2016-08-15,18.860000610351562
2016-08-16,18.950000762939453
2016-08-17,19.1299991607666
2016-08-18,19.049999237060547
2016-08-19,18.899999618530273
2016-08-22,18.8799991607666
2016-08-23,18.950000762939453
2016-08-24,18.829999923706055
2016-08-25,18.760000228881836
2016-08-26,18.860000610351562
2016-08-29,18.530000686645508
2016-08-30,18.440000534057617
2016-08-31,18.479999542236328
2016-09-01,18.43000030517578
2016-09-02,18.489999771118164
2016-09-06,18.600000381469727
2016-09-07,18.649999618530273
2016-09-08,18.520000457763672
2016-09-09,18.59000015258789
2016-09-12,18.360000610351562
2016-09-13,18.5
2016-09-14,18.43000030517578
2016-09-15,18.469999313354492
2016-09-16,18.75
2016-09-19,18.780000686645508
2016-09-20,18.690000534057617
2016-09-21,18.75
2016-09-22,18.84000015258789
2016-09-23,18.40999984741211
2016-09-26,18.420000076293945
2016-09-27,18.540000915527344
2016-09-28,18.600000381469727
2016-09-29,18.700000762939453
2016-09-30,18.670000076293945
2016-10-03,18.43000030517578
2016-10-04,18.399999618530273
2016-10-05,18.729999542236328
2016-10-06,18.530000686645508
2016-10-07,18.31999969482422
2016-10-10,18.639999389648438
2016-10-11,18.31999969482422
2016-10-12,18.399999618530273
2016-10-13,18.579999923706055
2016-10-14,18.6200008392334
2016-10-17,18.25
2016-10-18,18.100000381469727
2016-10-19,18.290000915527344
2016-10-20,18.18000030517578
2016-10-21,18.149999618530273
2016-10-24,18.610000610351562
2016-10-25,18.649999618530273
2016-10-26,18.649999618530273
2016-10-27,18.450000762939453
2016-10-28,18.229999542236328
2016-10-31,18.239999771118164
2016-11-01,18.450000762939453
2016-11-02,18.299999237060547
2016-11-03,18.010000228881836
2016-11-04,18.09000015258789
2016-11-07,17.899999618530273
2016-11-08,17.93000030517578
2016-11-09,17.860000610351562
2016-11-10,17.760000228881836
2016-11-11,18.799999237060547
2016-11-14,18.200000762939453
2016-11-15,18.270000457763672
2016-11-16,18.049999237060547
2016-11-17,18.549999237060547
2016-11-18,18.110000610351562
2016-11-21,18.270000457763672
2016-11-22,18.190000534057617
2016-11-23,18.780000686645508
2016-11-25,18.770000457763672
2016-11-28,18.770000457763672
2016-11-29,18.790000915527344
2016-11-30,18.540000915527344
2016-12-01,18.399999618530273
2016-12-02,18.649999618530273
2016-12-05,18.899999618530273
2016-12-06,18.899999618530273
2016-12-07,18.610000610351562
2016-12-08,18.649999618530273
2016-12-09,18.799999237060547
2016-12-12,18.459999084472656
2016-12-13,18.68000030517578
2016-12-14,18.540000915527344
2016-12-15,18.59000015258789
2016-12-16,18.780000686645508
2016-12-19,18.889999389648438
2016-12-20,18.860000610351562
2016-12-21,18.889999389648438
2016-12-22,18.760000228881836
2016-12-23,18.950000762939453
2016-12-27,18.549999237060547
2016-12-28,18.469999313354492
2016-12-29,18.510000228881836
2016-12-30,18.690000534057617
2017-01-03,18.950000762939453
2017-01-04,19.020000457763672
2017-01-05,19.389999389648438
2017-01-06,19.049999237060547
2017-01-09,19.149999618530273
2017-01-10,19.309999465942383
2017-01-11,19.420000076293945
2017-01-12,19.450000762939453
2017-01-13,19.350000381469727
2017-01-17,19.389999389648438
2017-01-18,19.209999084472656
2017-01-19,19.200000762939453
2017-01-20,19.459999084472656
2017-01-23,19.31999969482422
2017-01-24,19.420000076293945
2017-01-25,19.549999237060547
2017-01-26,19.389999389648438
2017-01-27,19.3799991607666
2017-01-30,19.540000915527344
2017-01-31,19.75
2017-02-01,19.530000686645508
2017-02-02,19.889999389648438
2017-02-03,19.549999237060547
2017-02-06,19.889999389648438
2017-02-07,19.809999465942383
2017-02-08,19.450000762939453
2017-02-09,19.700000762939453
2017-02-10,19.549999237060547
2017-02-13,19.360000610351562
2017-02-14,19.579999923706055
2017-02-15,19.729999542236328
2017-02-16,19.579999923706055
2017-02-17,19.790000915527344
2017-02-21,19.530000686645508
2017-02-22,19.829999923706055
2017-02-23,19.799999237060547
2017-02-24,19.770000457763672
2017-02-27,19.75
2017-02-28,19.760000228881836
2017-03-01,19.90999984741211
2017-03-02,20.170000076293945
2017-03-03,19.979999542236328
2017-03-06,20.079999923706055
2017-03-07,20.040000915527344
2017-03-08,20.0
2017-03-09,19.809999465942383
2017-03-10,19.989999771118164
2017-03-13,19.889999389648438
2017-03-14,19.75
2017-03-15,19.639999389648438
2017-03-16,19.90999984741211
2017-03-17,19.969999313354492
2017-03-20,19.6200008392334
2017-03-21,19.200000762939453
2017-03-22,19.360000610351562
2017-03-23,19.15999984741211
2017-03-24,19.100000381469727
2017-03-27,19.639999389648438
2017-03-28,19.799999237060547
2017-03-29,20.0
2017-03-30,19.959999084472656
2017-03-31,20.15999984741211
2017-04-03,19.90999984741211
2017-04-04,19.639999389648438
2017-04-05,19.969999313354492
2017-04-06,20.0
2017-04-07,19.93000030517578
2017-04-10,19.68000030517578
2017-04-11,19.6299991607666
2017-04-12,19.979999542236328
2017-04-13,19.809999465942383
2017-04-17,19.989999771118164
2017-04-18,19.989999771118164
