,BTEC
2020-03-02,37.95899963378906
2020-03-03,36.9119987487793
2020-03-04,38.518001556396484
2020-03-05,37.95399856567383
2020-03-06,36.821998596191406
2020-03-09,34.058998107910156
2020-03-10,34.81700134277344
2020-03-11,32.41600036621094
2020-03-12,29.118999481201172
2020-03-13,30.5
2020-03-16,27.149999618530273
2020-03-17,27.575000762939453
2020-03-18,25.990999221801758
2020-03-19,28.30500030517578
2020-03-20,27.549999237060547
2020-03-23,27.549999237060547
2020-03-24,29.944000244140625
2020-03-25,30.43199920654297
2020-03-26,31.700000762939453
2020-03-27,31.042999267578125
2020-03-30,31.75
2020-03-31,31.445999145507812
2020-04-01,29.704999923706055
2020-04-02,30.638999938964844
2020-04-03,30.136999130249023
2020-04-06,31.709999084472656
2020-04-07,31.506999969482422
2020-04-08,32.69900131225586
2020-04-09,33.71799850463867
2020-04-13,33.650001525878906
2020-04-14,34.95000076293945
2020-04-15,34.2869987487793
2020-04-16,35.17300033569336
2020-04-17,37.00400161743164
2020-04-20,38.09400177001953
2020-04-21,36.75299835205078
2020-04-22,37.459999084472656
2020-04-23,37.69900131225586
2020-04-24,39.0
2020-04-27,39.77000045776367
2020-04-28,39.19499969482422
2020-04-29,39.20000076293945
2020-04-30,38.38999938964844
2020-05-01,36.87699890136719
2020-05-04,38.29600143432617
2020-05-05,39.61800003051758
2020-05-06,39.558998107910156
2020-05-07,39.73899841308594
2020-05-08,40.38600158691406
2020-05-11,42.279998779296875
2020-05-12,41.702999114990234
2020-05-13,40.67399978637695
2020-05-14,40.369998931884766
