,FFWM
2018-10-11,15.239999771118164
2018-10-12,14.979999542236328
2018-10-15,15.489999771118164
2018-10-16,15.510000228881836
2018-10-17,15.380000114440918
2018-10-18,14.970000267028809
2018-10-19,14.779999732971191
2018-10-22,14.119999885559082
2018-10-23,15.380000114440918
2018-10-24,15.029999732971191
2018-10-25,15.729999542236328
2018-10-26,15.829999923706055
2018-10-29,16.139999389648438
2018-10-30,15.970000267028809
2018-10-31,16.209999084472656
2018-11-01,16.420000076293945
2018-11-02,16.389999389648438
2018-11-05,16.360000610351562
2018-11-06,16.389999389648438
2018-11-07,16.239999771118164
2018-11-08,16.510000228881836
2018-11-09,16.200000762939453
2018-11-12,16.1299991607666
2018-11-13,16.270000457763672
2018-11-14,16.06999969482422
2018-11-15,16.260000228881836
2018-11-16,16.280000686645508
2018-11-19,16.25
2018-11-20,16.010000228881836
2018-11-21,15.949999809265137
2018-11-23,16.139999389648438
2018-11-26,16.200000762939453
2018-11-27,16.110000610351562
2018-11-28,16.239999771118164
2018-11-29,15.899999618530273
2018-11-30,16.010000228881836
2018-12-03,15.960000038146973
2018-12-04,14.800000190734863
2018-12-06,14.470000267028809
2018-12-07,14.369999885559082
2018-12-10,14.1899995803833
2018-12-11,14.199999809265137
2018-12-12,14.319999694824219
2018-12-13,13.819999694824219
2018-12-14,13.369999885559082
2018-12-17,13.180000305175781
2018-12-18,12.930000305175781
2018-12-19,12.729999542236328
2018-12-20,12.739999771118164
2018-12-21,12.229999542236328
2018-12-24,12.050000190734863
2018-12-26,12.5600004196167
2018-12-27,12.640000343322754
2018-12-28,12.770000457763672
2018-12-31,12.859999656677246
2019-01-02,13.380000114440918
2019-01-03,13.539999961853027
2019-01-04,13.850000381469727
2019-01-07,13.720000267028809
2019-01-08,13.979999542236328
2019-01-09,14.0600004196167
2019-01-10,13.989999771118164
2019-01-11,14.069999694824219
2019-01-14,14.15999984741211
2019-01-15,14.180000305175781
2019-01-16,14.579999923706055
2019-01-17,14.710000038146973
2019-01-18,14.720000267028809
2019-01-22,14.34000015258789
