,CCLP
2016-09-09,9.59000015258789
2016-09-12,9.819999694824219
2016-09-13,9.609999656677246
2016-09-14,9.489999771118164
2016-09-15,9.720000267028809
2016-09-16,10.029999732971191
2016-09-19,9.609999656677246
2016-09-20,9.710000038146973
2016-09-21,9.90999984741211
2016-09-22,10.020000457763672
2016-09-23,10.210000038146973
2016-09-26,10.0600004196167
2016-09-27,9.819999694824219
2016-09-28,10.149999618530273
2016-09-29,10.130000114440918
2016-09-30,10.59000015258789
2016-10-03,10.489999771118164
2016-10-04,10.449999809265137
2016-10-05,10.529999732971191
2016-10-06,10.970000267028809
2016-10-07,10.90999984741211
2016-10-10,10.880000114440918
2016-10-11,10.949999809265137
2016-10-12,11.039999961853027
2016-10-13,11.119999885559082
2016-10-14,10.699999809265137
2016-10-17,10.979999542236328
2016-10-18,11.130000114440918
2016-10-19,11.180000305175781
2016-10-20,11.020000457763672
2016-10-21,10.90999984741211
2016-10-24,11.170000076293945
2016-10-25,11.180000305175781
2016-10-26,11.119999885559082
2016-10-27,11.34000015258789
2016-10-28,11.0
2016-10-31,10.350000381469727
2016-11-01,10.229999542236328
2016-11-02,9.619999885559082
2016-11-03,9.550000190734863
2016-11-04,8.670000076293945
2016-11-07,8.770000457763672
2016-11-08,9.210000038146973
2016-11-09,9.770000457763672
2016-11-10,9.529999732971191
2016-11-11,9.630000114440918
2016-11-14,10.010000228881836
2016-11-15,10.149999618530273
2016-11-16,10.100000381469727
2016-11-17,9.880000114440918
2016-11-18,9.9399995803833
2016-11-21,9.880000114440918
2016-11-22,10.149999618530273
2016-11-23,10.010000228881836
2016-11-25,10.0
2016-11-28,9.890000343322754
2016-11-29,9.600000381469727
2016-11-30,10.0
2016-12-01,10.100000381469727
2016-12-02,10.149999618530273
2016-12-05,10.399999618530273
2016-12-06,9.970000267028809
2016-12-07,10.050000190734863
2016-12-08,10.039999961853027
2016-12-09,10.050000190734863
2016-12-12,9.609999656677246
2016-12-13,9.649999618530273
2016-12-14,9.260000228881836
2016-12-15,9.300000190734863
2016-12-16,9.149999618530273
2016-12-19,9.25
2016-12-20,9.270000457763672
2016-12-21,9.489999771118164
2016-12-22,9.380000114440918
2016-12-23,9.170000076293945
2016-12-27,9.399999618530273
2016-12-28,9.399999618530273
2016-12-29,9.680000305175781
2016-12-30,9.729999542236328
2017-01-03,10.170000076293945
2017-01-04,10.760000228881836
2017-01-05,10.920000076293945
2017-01-06,10.920000076293945
2017-01-09,11.229999542236328
2017-01-10,10.8100004196167
2017-01-11,10.569999694824219
2017-01-12,10.59000015258789
2017-01-13,10.5
2017-01-17,10.260000228881836
2017-01-18,10.15999984741211
2017-01-19,10.670000076293945
2017-01-20,11.199999809265137
2017-01-23,12.229999542236328
2017-01-24,12.5
