,ABTX
2019-08-28,31.639999389648438
2019-08-29,32.22999954223633
2019-08-30,32.40999984741211
2019-09-03,31.850000381469727
2019-09-04,31.950000762939453
2019-09-05,33.029998779296875
2019-09-06,32.619998931884766
2019-09-09,34.0099983215332
2019-09-10,34.790000915527344
2019-09-11,35.79999923706055
2019-09-12,36.040000915527344
2019-09-13,35.5
2019-09-16,35.20000076293945
2019-09-17,35.0099983215332
2019-09-18,34.77000045776367
2019-09-19,34.459999084472656
2019-09-20,33.5
2019-09-23,33.59000015258789
2019-09-24,32.38999938964844
2019-09-25,33.14500045776367
2019-09-26,32.15999984741211
2019-09-27,32.04999923706055
2019-09-30,32.09000015258789
2019-10-01,31.1299991607666
2019-10-02,30.969999313354492
2019-10-03,30.93000030517578
2019-10-04,31.219999313354492
2019-10-07,31.639999389648438
2019-10-08,33.91999816894531
2019-10-09,34.099998474121094
2019-10-10,33.4900016784668
2019-10-11,33.529998779296875
2019-10-14,33.869998931884766
2019-10-15,34.41999816894531
2019-10-16,34.47999954223633
2019-10-17,34.790000915527344
2019-10-18,35.099998474121094
2019-10-21,35.720001220703125
2019-10-22,35.7400016784668
2019-10-23,35.84000015258789
2019-10-24,35.0099983215332
2019-10-25,33.970001220703125
2019-10-28,33.5099983215332
2019-10-29,33.209999084472656
2019-10-30,33.040000915527344
2019-10-31,33.2599983215332
2019-11-01,34.16999816894531
2019-11-04,35.38999938964844
2019-11-05,35.02000045776367
2019-11-06,35.04999923706055
2019-11-07,35.31999969482422
2019-11-08,35.20000076293945
2019-11-11,35.31999969482422
2019-11-12,35.33000183105469
2019-11-13,35.060001373291016
