,EKSO
2017-12-13,34.79999923706055
2017-12-14,36.45000076293945
2017-12-15,34.20000076293945
2017-12-18,34.5
2017-12-19,33.900001525878906
2017-12-20,31.5
2017-12-21,31.950000762939453
2017-12-22,31.950000762939453
2017-12-26,36.150001525878906
2017-12-27,38.54999923706055
2017-12-28,33.45000076293945
2017-12-29,31.950000762939453
2018-01-02,30.75
2018-01-03,28.5
2018-01-04,29.25
2018-01-05,28.5
2018-01-08,28.799999237060547
2018-01-09,29.399999618530273
2018-01-10,28.200000762939453
2018-01-11,30.299999237060547
2018-01-12,30.149999618530273
2018-01-16,28.350000381469727
2018-01-17,28.200000762939453
2018-01-18,27.0
