,EZJ
2017-03-14,31.873332977294922
2017-03-15,31.873332977294922
2017-03-16,32.81666564941406
2017-03-17,32.52000045776367
2017-03-20,32.52000045776367
2017-03-21,32.52000045776367
2017-03-22,32.00666809082031
2017-03-23,32.1966667175293
2017-03-24,32.71333312988281
2017-03-27,32.67333221435547
2017-03-28,33.043331146240234
2017-03-29,33.029998779296875
2017-03-30,33.029998779296875
2017-03-31,31.99333381652832
2017-04-03,31.99333381652832
2017-04-04,31.99333381652832
2017-04-05,31.94333267211914
2017-04-06,31.433332443237305
2017-04-07,31.56333351135254
2017-04-10,31.456666946411133
2017-04-11,31.456666946411133
2017-04-12,31.42333221435547
2017-04-13,31.036666870117188
2017-04-17,31.530000686645508
2017-04-18,31.530000686645508
2017-04-19,31.690000534057617
2017-04-20,31.89666748046875
2017-04-21,32.02000045776367
2017-04-24,32.02000045776367
2017-04-25,32.723331451416016
2017-04-26,32.83333206176758
2017-04-27,32.78666687011719
2017-04-28,32.52000045776367
2017-05-01,32.52000045776367
2017-05-02,33.08333206176758
2017-05-03,33.08333206176758
2017-05-04,33.16999816894531
2017-05-05,33.4466667175293
2017-05-08,33.4466667175293
2017-05-09,33.516666412353516
2017-05-10,33.29999923706055
2017-05-11,33.003334045410156
2017-05-12,33.0966682434082
2017-05-15,33.0966682434082
2017-05-16,33.2599983215332
2017-05-17,33.31999969482422
2017-05-18,33.426666259765625
2017-05-19,33.616668701171875
2017-05-22,33.936668395996094
2017-05-23,33.97666549682617
2017-05-24,33.723331451416016
2017-05-25,34.02333450317383
2017-05-26,33.92333221435547
2017-05-30,34.163333892822266
2017-05-31,34.163333892822266
2017-06-01,34.74333190917969
2017-06-02,36.206668853759766
2017-06-05,35.959999084472656
2017-06-06,36.06666564941406
2017-06-07,36.06666564941406
2017-06-08,35.9466667175293
2017-06-09,35.33333206176758
2017-06-12,35.43333435058594
2017-06-13,35.71333312988281
2017-06-14,35.836666107177734
2017-06-15,34.98666763305664
2017-06-16,34.98666763305664
2017-06-19,34.98666763305664
2017-06-20,35.65666580200195
2017-06-21,35.65666580200195
2017-06-22,35.5
2017-06-23,35.5
2017-06-26,35.66666793823242
2017-06-27,35.26333236694336
2017-06-28,35.26333236694336
2017-06-29,35.24333190917969
2017-06-30,35.05666732788086
2017-07-03,34.689998626708984
2017-07-05,34.689998626708984
2017-07-06,34.366668701171875
2017-07-07,34.0
2017-07-10,33.95000076293945
2017-07-11,34.529998779296875
2017-07-12,34.76333236694336
2017-07-13,34.76333236694336
2017-07-14,34.97666549682617
2017-07-17,34.97666549682617
2017-07-18,35.11000061035156
2017-07-19,35.40999984741211
2017-07-20,35.71666717529297
2017-07-21,35.71666717529297
2017-07-24,35.81666564941406
2017-07-25,35.599998474121094
2017-07-26,35.57666778564453
2017-07-27,35.96666717529297
2017-07-28,36.0
2017-07-31,36.0
2017-08-01,37.0
2017-08-02,36.676666259765625
2017-08-03,36.676666259765625
2017-08-04,36.676666259765625
2017-08-07,36.71666717529297
2017-08-08,36.71666717529297
2017-08-09,36.37666702270508
2017-08-10,35.71666717529297
2017-08-11,35.44333267211914
2017-08-14,36.03333282470703
2017-08-15,36.04666519165039
2017-08-16,36.04666519165039
2017-08-17,35.720001220703125
2017-08-18,35.720001220703125
2017-08-21,35.720001220703125
2017-08-22,35.720001220703125
2017-08-23,35.720001220703125
2017-08-24,35.67333221435547
2017-08-25,35.7400016784668
2017-08-28,35.91666793823242
2017-08-29,35.70333480834961
2017-08-30,35.57666778564453
2017-08-31,35.959999084472656
2017-09-01,36.06666564941406
2017-09-05,35.36333465576172
2017-09-06,35.900001525878906
2017-09-07,36.290000915527344
2017-09-08,36.473331451416016
2017-09-11,37.043331146240234
2017-09-12,37.043331146240234
2017-09-13,36.72999954223633
2017-09-14,36.456668853759766
2017-09-15,36.78333282470703
2017-09-18,36.78333282470703
2017-09-19,36.78333282470703
2017-09-20,36.78333282470703
2017-09-21,37.143333435058594
2017-09-22,36.97666549682617
2017-09-25,36.97666549682617
2017-09-26,36.97666549682617
2017-09-27,36.97666549682617
2017-09-28,36.97666549682617
2017-09-29,36.97666549682617
2017-10-02,37.2599983215332
2017-10-03,37.45000076293945
2017-10-04,37.45000076293945
2017-10-05,37.45000076293945
2017-10-06,37.71333312988281
2017-10-09,37.900001525878906
2017-10-10,38.400001525878906
2017-10-11,38.56666564941406
2017-10-12,38.56666564941406
2017-10-13,38.56666564941406
2017-10-16,40.08000183105469
2017-10-17,39.706668853759766
2017-10-18,39.706668853759766
2017-10-19,39.62666702270508
2017-10-20,39.63666534423828
2017-10-23,40.06999969482422
2017-10-24,40.83333206176758
2017-10-25,40.026668548583984
2017-10-26,40.57666778564453
2017-10-27,41.0
2017-10-30,41.016666412353516
2017-10-31,41.35333251953125
2017-11-01,41.913333892822266
2017-11-02,42.029998779296875
2017-11-03,42.04666519165039
2017-11-06,41.83000183105469
2017-11-07,42.59333419799805
2017-11-08,43.45000076293945
2017-11-09,41.849998474121094
2017-11-10,41.97666549682617
2017-11-13,41.4466667175293
2017-11-14,41.313331604003906
2017-11-15,40.426666259765625
2017-11-16,41.266666412353516
2017-11-17,41.41999816894531
2017-11-20,41.866668701171875
2017-11-21,41.866668701171875
2017-11-22,41.866668701171875
2017-11-24,42.996665954589844
2017-11-27,43.0533332824707
2017-11-28,43.0533332824707
2017-11-29,42.9900016784668
2017-11-30,42.9900016784668
2017-12-01,42.560001373291016
2017-12-04,41.606666564941406
2017-12-05,41.900001525878906
2017-12-06,41.900001525878906
2017-12-07,42.06666564941406
2017-12-08,42.06666564941406
2017-12-11,42.06666564941406
2017-12-12,42.06666564941406
2017-12-13,43.130001068115234
2017-12-14,43.0533332824707
2017-12-15,42.83333206176758
2017-12-18,44.08333206176758
2017-12-19,42.936668395996094
2017-12-20,42.936668395996094
2017-12-21,43.356666564941406
2017-12-22,43.473331451416016
2017-12-26,43.473331451416016
2017-12-27,43.473331451416016
2017-12-28,43.33333206176758
2017-12-29,43.46666717529297
2018-01-02,44.0
2018-01-03,44.95000076293945
2018-01-04,46.383331298828125
2018-01-05,46.633331298828125
2018-01-08,47.15666580200195
2018-01-09,47.0
2018-01-10,47.81999969482422
2018-01-11,48.223331451416016
2018-01-12,48.606666564941406
2018-01-16,48.6533317565918
2018-01-17,49.529998779296875
2018-01-18,48.586666107177734
2018-01-19,49.1533317565918
2018-01-22,49.2599983215332
2018-01-23,50.0
2018-01-24,49.81666564941406
2018-01-25,50.043331146240234
2018-01-26,50.0966682434082
2018-01-29,49.59000015258789
2018-01-30,47.96333312988281
2018-01-31,47.60333251953125
2018-02-01,48.22999954223633
2018-02-02,46.813331604003906
2018-02-05,42.31666564941406
2018-02-06,44.336666107177734
2018-02-07,43.776668548583984
2018-02-08,40.98666763305664
2018-02-09,40.9900016784668
2018-02-12,43.496665954589844
2018-02-13,42.18333435058594
2018-02-14,43.5099983215332
2018-02-15,44.13999938964844
2018-02-16,45.43333435058594
2018-02-20,45.43333435058594
2018-02-21,44.26333236694336
2018-02-22,44.029998779296875
2018-02-23,45.026668548583984
2018-02-26,46.55666732788086
2018-02-27,45.766666412353516
2018-02-28,45.766666412353516
2018-03-01,41.810001373291016
2018-03-02,42.189998626708984
2018-03-05,43.060001373291016
2018-03-06,43.79999923706055
2018-03-07,43.086666107177734
2018-03-08,43.50666809082031
2018-03-09,43.0
2018-03-12,43.0
2018-03-13,43.79666519165039
2018-03-14,43.79666519165039
2018-03-15,43.79666519165039
2018-03-16,43.79666519165039
2018-03-19,42.163333892822266
2018-03-20,42.66666793823242
2018-03-21,42.599998474121094
2018-03-22,42.116668701171875
2018-03-23,40.22666549682617
2018-03-26,40.96333312988281
2018-03-27,42.13666534423828
2018-03-28,42.33000183105469
2018-03-29,43.81666564941406
2018-04-02,43.81666564941406
2018-04-03,42.529998779296875
2018-04-04,42.436668395996094
2018-04-05,43.25666809082031
2018-04-06,42.46333312988281
2018-04-09,42.46333312988281
2018-04-10,43.16666793823242
2018-04-11,43.029998779296875
2018-04-12,43.029998779296875
2018-04-13,42.733333587646484
2018-04-16,42.733333587646484
2018-04-17,42.733333587646484
2018-04-18,42.733333587646484
2018-04-19,43.496665954589844
2018-04-20,43.496665954589844
2018-04-23,43.496665954589844
2018-04-24,43.496665954589844
2018-04-25,43.0966682434082
2018-04-26,43.0966682434082
2018-04-27,43.0966682434082
2018-04-30,43.0966682434082
2018-05-01,43.0966682434082
2018-05-02,43.0966682434082
2018-05-03,43.0966682434082
2018-05-04,43.0966682434082
2018-05-07,43.0966682434082
2018-05-08,43.0966682434082
2018-05-09,43.0966682434082
2018-05-10,43.0966682434082
2018-05-11,43.0966682434082
2018-05-14,43.0966682434082
2018-05-15,43.77333450317383
2018-05-16,43.77333450317383
2018-05-17,43.92333221435547
2018-05-18,43.790000915527344
2018-05-21,43.790000915527344
2018-05-22,43.790000915527344
2018-05-23,43.09333419799805
2018-05-24,42.599998474121094
2018-05-25,42.599998474121094
2018-05-29,41.880001068115234
2018-05-30,42.4900016784668
2018-05-31,41.959999084472656
2018-06-01,41.959999084472656
2018-06-04,42.790000915527344
2018-06-05,42.88999938964844
2018-06-06,42.88999938964844
2018-06-07,42.88999938964844
2018-06-08,43.38999938964844
2018-06-11,43.689998626708984
2018-06-12,43.689998626708984
2018-06-13,43.689998626708984
2018-06-14,43.0
2018-06-15,42.4900016784668
2018-06-18,42.4900016784668
2018-06-19,40.689998626708984
2018-06-20,40.869998931884766
2018-06-21,40.880001068115234
2018-06-22,41.18000030517578
2018-06-25,40.25
2018-06-26,40.25
2018-06-27,40.25
2018-06-28,40.25
2018-06-29,39.599998474121094
2018-07-02,37.95000076293945
2018-07-03,38.29999923706055
2018-07-05,38.27000045776367
2018-07-06,38.7599983215332
2018-07-09,39.66999816894531
2018-07-10,39.529998779296875
2018-07-11,38.38999938964844
2018-07-12,38.470001220703125
2018-07-13,38.470001220703125
